 · «%s»: владелец + 	 · «%s»: egasi + 
«%s» сразу потеряет доступ. Слот ключа освободится.	«%s» darhol kirish huquqini yo‘qotadi. Kalit uyasi bo‘shaydi.
«%s» уже в документе	«%s» allaqachon hujjatda
«%s»: в чеке %s, на складе %s.	«%s»: chekda %s, omborda %s.
«%s»: добавлено %s %s — больше нет на складе	«%s»: %s %s qo‘shildi — omborda boshqa qolmadi
«%s»: максимум %s %s — в минус нельзя	«%s»: maksimum %s %s — minusga chiqib bo‘lmaydi
«%s»: на складе ноль — списывать нечего	«%s»: omborda nol — hisobdan chiqarishga narsa yo‘q
«%s»: не указана цена продажи — продать нельзя	«%s»: sotuv narxi ko‘rsatilmagan — sotib bo‘lmaydi
«%s»: нет на складе	«%s»: omborda yo‘q
«Выйти» на устройстве освобождает место само. Отвяжите устройство, если оно незнакомое или потеряно.	Qurilmadagi «Chiqish» joyni o‘zi bo‘shatadi. Agar qurilma notanish yoki yo‘qolgan bo‘lsa, uni uzing.
· остаток %s %s	· qoldiq %s %s
Автор не указан	Muallif ko‘rsatilmagan
Адрес	Manzil
Акт списания	Hisobdan chiqarish dalolatnomasi
Активен	Faol
Активна	Faol
Активна до %s, потом отключится	%s gacha faol, keyin o‘chadi
Активна до конца оплаченного периода	To‘langan davr oxirigacha faol
Активны: 	Faol: 
Активные	Faollar
Активные входы	Faol kirishlar
Активные категории	Faol kategoriyalar
Активные товары	Faol mahsulotlar
Активных категорий нет.	Faol kategoriyalar yo‘q.
Арт: %s	Art: %s
Артикул	Artikul
Артикул / внутренний код	Artikul / ichki kod
Архив	Arxiv
Архив · 	Arxiv · 
Архив категорий	Kategoriyalar arxivi
Архив пуст.	Arxiv bo‘sh.
Архив товаров	Mahsulotlar arxivi
Архивировать	Arxivlash
Архивировать категорию?	Kategoriya arxivlansinmi?
Архивировать товар?	Mahsulot arxivlansinmi?
Архивная категория не показывается в фильтрах и в форме товара. Товары при этом остаются на складе.	Arxivlangan kategoriya filtrlarda va mahsulot shaklida ko‘rinmaydi. Mahsulotlar esa omborda qoladi.
Аудит	Audit
Без доступа к Bluetooth список принтеров не открыть	Bluetooth ruxsatisiz printerlar ro‘yxatini ochib bo‘lmaydi
Без имени	Nomsiz
Без категории	Kategoriyasiz
Без клиента	Mijozsiz
Без кода	Kodsiz
Без кода · %s	Kodsiz · %s
Без лишнего тапа: чек уходит на принтер, как только продажа проведена	Ortiqcha bosishsiz: sotuv o‘tkazilishi bilan chek printerga yuboriladi
Без поставщика	Yetkazib beruvchisiz
Бесплатные продажи закончились (%s). Выберите тариф, чтобы продолжать продавать и проводить приход.	Bepul sotuvlar tugadi (%s). Sotishni va tovar qabul qilishni davom ettirish uchun tarifni tanlang.
Бесплатный лимит веб-версии FonRo (%s) исчерпан. 	FonRo veb-versiyasining bepul limiti (%s) tugadi. 
Бесплатный полный доступ активен	Bepul to‘liq kirish faol
Бесплатный полный доступ до %s	%s gacha bepul to‘liq kirish
Больше остатка списать нельзя	Qoldiqdan ko‘p hisobdan chiqarib bo‘lmaydi
Буфер обмена недоступен	Almashish buferi mavjud emas
Было: 	Edi: 
Быстрые действия	Tezkor amallar
В архив	Arxivga
В архиве	Arxivda
В ближайшие дни: %s · 	Yaqin kunlarda: %s · 
В долг	Qarzga
В заказе нет позиций.	Buyurtmada pozitsiyalar yo‘q.
В кассе уже набран чек: позиций — %s. 	Kassada allaqachon chek yig‘ilgan: pozitsiyalar — %s. 
В корзину	Savatga
В окне печати поставьте масштаб 100% и снимите поля по умолчанию — иначе наклейки уедут мимо разметки листа.	Chop etish oynasida masshtabni 100% qilib qo‘ying va standart chekkalarni olib tashlang — aks holda yorliqlar varaq razmetkasidan chiqib ketadi.
В очереди	Navbatda
В этой категории ничего не найдено.	Bu kategoriyada hech narsa topilmadi.
В этой категории пока нет товаров.	Bu kategoriyada hozircha mahsulot yo‘q.
В этом статусе пусто.	Bu statusda bo‘sh.
ВСЕ ПРОДАННЫЕ ТОВАРЫ	BARCHA SOTILGAN MAHSULOTLAR
Валюта витрины	Vitrina valyutasi
Валюта кассы	Kassa valyutasi
Валюта сохранена	Valyuta saqlandi
Вариант: цвет, размер, память	Variant: rang, o‘lcham, xotira
Ваш ответ	Sizning javobingiz
Ваша версия: 	Sizning versiyangiz: 
Введите 6-значный код из письма.	Xatdagi 6 xonali kodni kiriting.
Введите email и пароль.	Email va parolni kiriting.
Введите email.	Email kiriting.
Введите имя клиента	Mijoz ismini kiriting
Введите имя сотрудника	Xodim ismini kiriting
Введите ключ доступа полностью.	Kirish kalitini to‘liq kiriting.
Введите название	Nomini kiriting
Введите название товара.	Mahsulot nomini kiriting.
Введите номер чека	Chek raqamini kiriting
Введите номер чека или отсканируйте QR-код с чека.	Chek raqamini kiriting yoki chekdagi QR-kodni skanerlang.
Введите штрихкод	Shtrix-kodni kiriting
Верно	To‘g‘ri
Вернуть	Qaytarish
Вернуть · 	Qaytarish · 
Вернуть в кассу	Kassaga qaytarish
Вернуть всё	Hammasini qaytarish
Вес	Og‘irlik
Витрина закрыта: покупатели не видят магазин.	Vitrina yopiq: xaridorlar do‘konni ko‘rmaydi.
Витрина открыта: покупатели видят товары и делают заказы.	Vitrina ochiq: xaridorlar mahsulotlarni ko‘radi va buyurtma beradi.
Владелец	Egasi
Владелец + 	Egasi + 
Владелец входит по email и паролю — ключ доступа ему не нужен, а права у него полные и не редактируются.	Egasi email va parol bilan kiradi — unga kirish kaliti kerak emas, huquqlari esa to‘liq va tahrirlanmaydi.
Владелец имеет полный доступ ко всем разделам.	Egasi barcha bo‘limlarga to‘liq kirish huquqiga ega.
Влияет только на то, как касса показывает суммы. У витрины и iOS-приложения валюта своя.	Faqat kassa summalarni qanday ko‘rsatishiga ta’sir qiladi. Vitrina va iOS-ilovaning valyutasi alohida.
Внесено при покупке	Xarid vaqtida kiritilgan
Внесено сейчас:	Hozir kiritildi:
Внесите фактический остаток хотя бы по одному товару	Hech bo‘lmasa bitta mahsulot bo‘yicha haqiqiy qoldiqni kiriting
Возврат	Qaytarish
Возврат 	Qaytarish 
Возврат -%s	Qaytarish -%s
Возврат · 	Qaytarish · 
Возврат от %s	%s dagi qaytarish
Возврат проведён	Qaytarish o‘tkazildi
Возврат товара	Mahsulotni qaytarish
Возврат −%s	Qaytarish −%s
Возвратов	Qaytarishlar
Возвратов по этому товару не было.	Bu mahsulot bo‘yicha qaytarishlar bo‘lmagan.
Возвратов пока нет.	Hozircha qaytarishlar yo‘q.
Возвраты	Qaytarishlar
Возвраты доступны сотрудникам с правом «Приём возвратов».	Qaytarishlar «Qaytarishlarni qabul qilish» huquqiga ega xodimlarga ochiq.
Возвраты по дням	Kunlar bo‘yicha qaytarishlar
Возвраты по часам	Soatlar bo‘yicha qaytarishlar
Возвращён	Qaytarilgan
Возвращённые товары	Qaytarilgan mahsulotlar
Возобновить подписку	Obunani tiklash
Войти	Kirish
Войти с него снова можно будет тем же ключом — слот освободится.	Undan qayta kirish o‘sha kalit bilan mumkin bo‘ladi — uya bo‘shaydi.
Восстановить	Tiklash
Восстановление пароля	Parolni tiklash
Все	Hammasi
Все (%s)	Hammasi (%s)
Все · 	Hammasi · 
Все · %s	Hammasi · %s
Все выбранные товары отмечены.	Barcha tanlangan mahsulotlar belgilangan.
Все категории	Barcha kategoriyalar
Все позиции, скидка и клиент будут сброшены.	Barcha pozitsiyalar, chegirma va mijoz tozalanadi.
Все чеки	Barcha cheklar
Все чеки отправлены.	Barcha cheklar yuborildi.
Все штрихкоды	Barcha shtrix-kodlar
Всего на складе, шт	Omborda jami, dona
Всего: 	Jami: 
Вся сумма — картой	Butun summa — karta bilan
Всё возвращено	Hammasi qaytarildi
Всё спокойно	Hammasi joyida
Вход владельца	Egasining kirishi
Вход выключен, права сохранятся	Kirish o‘chirilgan, huquqlar saqlanadi
Вход по ключу · права доступа	Kalit bilan kirish · kirish huquqlari
Вход по ключу работает	Kalit bilan kirish ishlaydi
Входим…	Kiryapmiz…
Выберите готовые товары — они добавятся в магазин с фото и штрихкодом. Цены и остатки заполнит приход.	Tayyor mahsulotlarni tanlang — ular do‘konga foto va shtrix-kod bilan qo‘shiladi. Narx va qoldiqlarni tovar qabul qilish to‘ldiradi.
Выберите клиента (обязательно)	Mijozni tanlang (majburiy)
Выберите месяц	Oyni tanlang
Выберите поставщика и товары, которые пришли	Yetkazib beruvchini va kelgan mahsulotlarni tanlang
Выберите товары	Mahsulotlarni tanlang
Выбран	Tanlangan
Выбран: %s	Tanlangan: %s
Выбрана	Tanlangan
Выдано кодов: %s, не удалось: %s	Berilgan kodlar: %s, muvaffaqiyatsiz: %s
Выдать внутренние коды	Ichki kodlarni berish
Выдать штрихкоды?	Shtrix-kodlar berilsinmi?
Выйти	Chiqish
Выйти из аккаунта?	Akkauntdan chiqilsinmi?
Выполнен	Bajarilgan
Выполненные	Bajarilganlar
Выпустить	Chiqarish
Выпустить новый ключ?	Yangi kalit chiqarilsinmi?
Выручка	Tushum
Где активен ваш ключ доступа	Kirish kalitingiz qayerda faol
Где искать	Qayerdan izlash
Где открыт ваш ключ	Kalitingiz qayerda ochiq
Годен до 	Yaroqlilik muddati 
Готовится	Tayyorlanmoqda
Готово	Tayyor
Готовятся	Tayyorlanmoqda
График возвратов %s	Qaytarishlar grafigi %s
График долгов %s	Qarzlar grafigi %s
График прибыли %s	Foyda grafigi %s
График продаж %s	Sotuvlar grafigi %s
Да, вернуть	Ha, qaytarish
Да, выдать	Ha, berish
Да, выйти	Ha, chiqish
Да, отменить	Ha, bekor qilish
Да, очистить	Ha, tozalash
Да, подтверждаю	Ha, tasdiqlayman
Да, провести	Ha, o‘tkazish
Да, удалить	Ha, o‘chirish
Данных за период нет.	Davr uchun ma’lumot yo‘q.
Дата	Sana
Дата ставится автоматически: %s	Sana avtomatik qo‘yiladi: %s
Действие	Amal
Действия	Amallar
Действует до %s	%s gacha amal qiladi
Действует, когда указана локация магазина, а покупатель отправил свою при заказе.	Do‘kon joylashuvi ko‘rsatilgan va xaridor buyurtma berishda o‘zinikini yuborgan bo‘lsa ishlaydi.
День закрыт: изменить и отменить можно только расход за сегодня.	Kun yopiq: faqat bugungi xarajatni o‘zgartirish va bekor qilish mumkin.
Детали долга	Qarz tafsilotlari
Динамика %s	Dinamika %s
Длина	Uzunlik
Для выбранного периода расходы не найдены.	Tanlangan davr uchun xarajatlar topilmadi.
Для долга выберите клиента	Qarz uchun mijozni tanlang
Добавить	Qo‘shish
Добавить · 	Qo‘shish · 
Добавить возврат	Qaytarish qo‘shish
Добавить выбранные	Tanlanganlarni qo‘shish
Добавить выбранные (%s)	Tanlanganlarni qo‘shish (%s)
Добавить категорию	Kategoriya qo‘shish
Добавить клиента	Mijoz qo‘shish
Добавить код	Kod qo‘shish
Добавить нового сотрудника	Yangi xodim qo‘shish
Добавить поставщика	Yetkazib beruvchi qo‘shish
Добавить расход	Xarajat qo‘shish
Добавить товар	Mahsulot qo‘shish
Добавить товары	Mahsulotlar qo‘shish
Добавлено из каталога: %s	Katalogdan qo‘shildi: %s
Добавлено: 	Qo‘shildi: 
Добавлено: %s	Qo‘shildi: %s
Добавьте сюда штрихкоды разных партий этого же товара. При продаже сканер найдёт товар по любому из них.	Bu yerga shu mahsulotning turli partiyalaridagi shtrix-kodlarni qo‘shing. Sotuvda skaner mahsulotni ularning istalgani bo‘yicha topadi.
Добавьте товар	Mahsulot qo‘shing
Документ отменён — товар вернулся на склад	Hujjat bekor qilindi — mahsulot omborga qaytdi
Документов	Hujjatlar
Долг	Qarz
Долг 	Qarz 
Долг клиента 	Mijoz qarzi 
Долг полностью закрыт 🎉	Qarz to‘liq yopildi 🎉
Долг поставщику	Yetkazib beruvchiga qarz
Долг: %s	Qarz: %s
Долги	Qarzlar
Долги клиентов не загрузились — список показан без них	Mijozlar qarzlari yuklanmadi — ro‘yxat ularsiz ko‘rsatildi
Должников за период нет 🎉	Davr uchun qarzdorlar yo‘q 🎉
Дополнительно: шаг продажи, штрихкоды	Qo‘shimcha: sotuv qadami, shtrix-kodlar
Дополнительные штрихкоды	Qo‘shimcha shtrix-kodlar
Доставка	Yetkazib berish
Доступ сохранится до конца оплаченного периода, потом Премиум отключится. Возобновить можно будет до этой даты.	Kirish to‘langan davr oxirigacha saqlanadi, keyin Premium o‘chadi. Shu sanagacha tiklash mumkin bo‘ladi.
Доступно к возврату: %s %s	Qaytarish mumkin: %s %s
Доступно только владельцу магазина	Faqat do‘kon egasi uchun ochiq
Дробный товар: можно продать часть — например 0,5.	Bo‘linadigan mahsulot: qismini sotish mumkin — masalan 0,5.
Другое	Boshqa
Единиц	Birlik
Единица	Birlik
Единица измерения	O‘lchov birligi
Есть долг	Qarz bor
Ещё	Yana
Ждут обработки	Qayta ishlashni kutmoqda
Журнал	Jurnal
Журнал доступен владельцу и менеджерам	Jurnal egasi va menejerlarga ochiq
Журнал доступен владельцу и сотрудникам с правом на настройки магазина.	Jurnal egasiga va do‘kon sozlamalari huquqiga ega xodimlarga ochiq.
За «%s» возвратов нет.	«%s» uchun qaytarishlar yo‘q.
За «%s» приходов нет.	«%s» uchun kirimlar yo‘q.
За «%s» проверок нет.	«%s» uchun tekshiruvlar yo‘q.
За период долги не погашали.	Davr ichida qarzlar to‘lanmagan.
За этот день записей нет.	Bu kun uchun yozuvlar yo‘q.
Забыли пароль?	Parolni unutdingizmi?
Загружаем архив…	Arxivni yuklayapmiz…
Загружаем долги…	Qarzlarni yuklayapmiz…
Загружаем историю товара…	Mahsulot tarixini yuklayapmiz…
Загружаем оплаты…	To‘lovlarni yuklayapmiz…
Загружаем переписку…	Yozishmalarni yuklayapmiz…
Загружаем покупки…	Xaridlarni yuklayapmiz…
Загружаем список…	Ro‘yxatni yuklayapmiz…
Загружаем статистику…	Statistikani yuklayapmiz…
Загружаем…	Yuklayapmiz…
Загрузка…	Yuklanmoqda…
Задайте адрес витрины в настройках	Sozlamalarda vitrina manzilini belgilang
Заказ #%s	Buyurtma #%s
Заказ %s выполнен	%s buyurtma bajarildi
Заказ %s отменён	%s buyurtma bekor qilindi
Заказ %s перенесён в кассу	%s buyurtma kassaga o‘tkazildi
Заказ %s подтверждён	%s buyurtma tasdiqlandi
Заказов ждут обработки: %s	Qayta ishlashni kutayotgan buyurtmalar: %s
Заказов нет	Buyurtmalar yo‘q
Заказы не загрузились	Buyurtmalar yuklanmadi
Заказы онлайн	Onlayn buyurtmalar
Закрыт	Yopiq
Закрытия	Yopilishlar
Закрытия долгов	Qarz yopilishlari
Закрыть	Yopish
Закрыть долг	Qarzni yopish
Закуп	Tan narx
Закупка	Xarid
Закупочная цена	Tan narx
Заменить	Almashtirish
Заменить корзину?	Savat almashtirilsinmi?
Заметка	Izoh
Заметка к проверке	Tekshiruvga izoh
Заполните имя, название магазина, email и пароль.	Ism, do‘kon nomi, email va parolni to‘ldiring.
Заполните название и цены — остальное можно позже	Nom va narxlarni to‘ldiring — qolganini keyinroq qilsa bo‘ladi
Зарегистрироваться	Ro‘yxatdan o‘tish
Заходили: 	Kirgan: 
ИТОГО	JAMI
Излишек	Ortiqcha
Изменить	O‘zgartirish
Изменить и отменить можно только расход за сегодня — за прошлые дни цифры закрыты.	Faqat bugungi xarajatni o‘zgartirish va bekor qilish mumkin — o‘tgan kunlar raqamlari yopiq.
Изменить клиента	Mijozni o‘zgartirish
Изменить расход	Xarajatni o‘zgartirish
Изменить товар	Mahsulotni o‘zgartirish
Изменён	O‘zgartirilgan
Имя	Ism
Имя *	Ism *
Имя и фамилия	Ism va familiya
Имя*	Ism*
Инвентаризаций по этому товару не было.	Bu mahsulot bo‘yicha inventarizatsiya bo‘lmagan.
Инвентаризаций пока не было. Нажмите «Начать инвентаризацию».	Hozircha inventarizatsiya bo‘lmagan. «Inventarizatsiyani boshlash»ni bosing.
Инвентаризация	Inventarizatsiya
Инвентаризация 	Inventarizatsiya 
Инвентаризация доступна сотрудникам с правом «Инвентаризация». Историю проверок видно всем.	Inventarizatsiya «Inventarizatsiya» huquqiga ega xodimlarga ochiq. Tekshiruvlar tarixini hamma ko‘radi.
Инвентаризация проведена	Inventarizatsiya o‘tkazildi
Использовано %s из %s бесплатных продаж, осталось %s.	%s / %s bepul sotuv ishlatilgan, %s qoldi.
История возвратов	Qaytarishlar tarixi
История оплаты	To‘lov tarixi
История приходов	Kirimlar tarixi
История проверок	Tekshiruvlar tarixi
История расходов	Xarajatlar tarixi
История списаний	Hisobdan chiqarishlar tarixi
Итого	Jami
Итого · наличными	Jami · naqd
Итого по закупке	Xarid bo‘yicha jami
Итого списано: 	Jami hisobdan chiqarildi: 
Ищем чек…	Chekni qidiryapmiz…
Ищем…	Qidiryapmiz…
К возврату %s. 	Qaytarishga %s. 
К оплате	To‘lovga
К печати	Chop etishga
КЛ	KL
Каждому присвоим внутренний EAN-13 (начинается на 2 — этот диапазон отведён под коды магазина). Существующие коды не тронем.	Har biriga ichki EAN-13 beramiz (2 bilan boshlanadi — bu diapazon do‘kon kodlari uchun ajratilgan). Mavjud kodlarga tegmaymiz.
Как будет выглядеть	Qanday ko‘rinadi
Как в приложении (%s)	Ilovadagidek (%s)
Как записать покупателя	Xaridorni qanday yozib qo‘yish
Как подключить принтер	Printerni qanday ulash
Камера недоступна	Kamera mavjud emas
Камера недоступна. Введите код вручную.	Kamera mavjud emas. Kodni qo‘lda kiriting.
Карта	Karta
Карта недоступна без интернета	Internetsiz xarita mavjud emas
Картой	Karta bilan
Карточка категории	Kategoriya kartochkasi
Карточка клиента	Mijoz kartochkasi
Карточка клиента магазина	Do‘kon mijozi kartochkasi
Карточка клиента — тап по строке	Mijoz kartochkasi — qatorga bosish
Карточка сотрудника	Xodim kartochkasi
Карточка товара	Mahsulot kartochkasi
Карточка товара — тап по строке	Mahsulot kartochkasi — qatorga bosish
Кассир	Kassir
Кассир: %s	Kassir: %s
Каталог FonRo	FonRo katalogi
Каталог пока пуст.	Katalog hozircha bo‘sh.
Каталог пуст — пересчитывать нечего	Katalog bo‘sh — qayta sanashga narsa yo‘q
Каталог пуст — сначала добавьте товары.	Katalog bo‘sh — avval mahsulot qo‘shing.
Категории	Kategoriyalar
Категории %s	Kategoriyalar %s
Категорий пока нет.	Hozircha kategoriyalar yo‘q.
Категория	Kategoriya
Категория в архиве	Kategoriya arxivda
Категория вернулась в список	Kategoriya ro‘yxatga qaytdi
Категория создана	Kategoriya yaratildi
Категориями управляют сотрудники с правом «Категории».	Kategoriyalarni «Kategoriyalar» huquqiga ega xodimlar boshqaradi.
Клиент	Mijoz
Клиент #%s	Mijoz #%s
Клиент добавлен	Mijoz qo‘shildi
Клиент создан	Mijoz yaratildi
Клиент:	Mijoz:
Клиентов	Mijozlar
Клиентов не найдено.	Mijozlar topilmadi.
Клиентов пока нет. Добавьте первого кнопкой выше.	Hozircha mijozlar yo‘q. Birinchisini yuqoridagi tugma bilan qo‘shing.
Клиенты	Mijozlar
Клиенты с долгами	Qarzi bor mijozlar
Клиенты с самым большим долгом	Eng katta qarzi bor mijozlar
Ключ выдаёт владелец в разделе «Сотрудники». Один ключ — одно устройство.	Kalitni egasi «Xodimlar» bo‘limida beradi. Bitta kalit — bitta qurilma.
Ключ доступа	Kirish kaliti
Ключ доступа FonRo	FonRo kirish kaliti
Ключ доступа сотрудника	Xodimning kirish kaliti
Ключ ещё нигде не активирован.	Kalit hali hech qayerda faollashtirilmagan.
Ключ скопирован	Kalit nusxalandi
Ключевые показатели	Asosiy ko‘rsatkichlar
Код из письма	Xatdagi kod
Код отправлен повторно. Проверьте почту и папку «Спам».	Kod qayta yuborildi. Pochtangizni va «Spam» papkasini tekshiring.
Кода нет · %s %s	Kod yo‘q · %s %s
Коды выданы — теперь эти товары можно печатать	Kodlar berildi — endi bu mahsulotlarni chop etish mumkin
Кол-во, %s	Miqdor, %s
Количество	Miqdor
Количество: 	Miqdor: 
Команда магазина	Do‘kon jamoasi
Копировать	Nusxalash
Корзина	Savat
Корзина будет очищена, устройство отвяжется от ключа — слот освободится.	Savat tozalanadi, qurilma kalitdan uziladi — uya bo‘shaydi.
Кроме владельца пока никого нет	Egasidan boshqa hozircha hech kim yo‘q
Кто записал	Kim yozgan
Кто и сколько оплатил по выбранному периоду	Tanlangan davrda kim qancha to‘lagan
Кто и что изменил · было → стало	Kim nimani o‘zgartirgan · edi → bo‘ldi
Кто сколько продал за %s	%s davomida kim qancha sotgan
Куплено %s %s · уже вернули %s	Sotib olingan %s %s · allaqachon %s qaytarilgan
Листов A4	A4 varaqlar
Листы A4	A4 varaqlar
Листы A4 — обычная самоклейка из канцелярского магазина. Остальные размеры — для этикеточного принтера с рулоном.	A4 varaqlar — kantselyariya do‘konidagi oddiy o‘zi yopishuvchi qog‘oz. Qolgan o‘lchamlar — rulonli etiketka printeri uchun.
Логин и пароль — те же, что в приложении FonRo.	Login va parol — FonRo ilovasidagi bilan bir xil.
Магазин	Do‘kon
Мало на складе	Omborda kam qoldi
Менеджер	Menejer
Меняйте что нужно, остальное останется как было	Kerakligini o‘zgartiring, qolgani avvalgidek qoladi
Мин. сумма товаров для бесплатной доставки (0 — без минимума)	Bepul yetkazib berish uchun min. mahsulot summasi (0 — minimumsiz)
Мои устройства	Mening qurilmalarim
Мой магазин	Mening do‘konim
Мой онлайн-магазин	Mening onlayn-do‘konim
На листе	Varaqda
На сколько кнопки + и − меняют количество этого товара в продаже.	+ va − tugmalari sotuvda bu mahsulot miqdorini qanchaga o‘zgartirishi.
На сумму 	Summasi 
На этом устройстве нет системной печати	Bu qurilmada tizim chop etishi yo‘q
Наведите камеру на штрихкод товара.	Kamerani mahsulot shtrix-kodiga to‘g‘rilang.
Нажмите возврат, чтобы посмотреть детали	Tafsilotlarni ko‘rish uchun qaytarishni bosing
Нажмите документ, чтобы посмотреть состав	Tarkibini ko‘rish uchun hujjatni bosing
Нажмите на карту, чтобы поставить точку. Голубой круг — радиус бесплатной доставки.	Nuqta qo‘yish uchun xaritani bosing. Moviy doira — bepul yetkazib berish radiusi.
Нажмите продажу, чтобы посмотреть состав	Tarkibini ko‘rish uchun sotuvni bosing
Назад	Orqaga
Название	Nomi
Название *	Nomi *
Название магазина	Do‘kon nomi
Название соберётся так: Чехол · Чёрный · M	Nomi shunday yig‘iladi: Chexol · Qora · M
Название товара	Mahsulot nomi
Название — минимум 2 символа	Nomi — kamida 2 belgi
Название, артикул или код	Nomi, artikuli yoki kodi
Найти чек	Chekni topish
Накладная	Yuk xati
Накладная № 	Yuk xati № 
Наклеек подряд	Ketma-ket yorliqlar
Наклейки для товаров, которые приехали без кода	Kodsiz kelgan mahsulotlar uchun yorliqlar
Наличные	Naqd
Наличные + карта = сумма чека	Naqd + karta = chek summasi
Наличными	Naqd pul bilan
Напишите нам — ответим в течение рабочего дня.	Bizga yozing — ish kuni davomida javob beramiz.
Напишите сообщение…	Xabar yozing…
Например: Ali Valiyev	Masalan: Ali Valiyev
Например: COLA-001	Masalan: COLA-001
Например: Coca Cola	Masalan: Coca Cola
Например: Напитки	Masalan: Ichimliklar
Например: Ойбек Трейд	Masalan: Oybek Treyd
Например: возит воду по вторникам	Masalan: seshanba kunlari suv olib keladi
Например: клиент вернул товар	Masalan: mijoz mahsulotni qaytardi
Например: пересчёт после смены	Masalan: smenadan keyingi qayta sanoq
Например: привезли утром, коробка помята	Masalan: ertalab olib kelishdi, quti ezilgan
Например: товара нет в наличии	Masalan: mahsulot mavjud emas
Настройки	Sozlamalar
Настройки магазина	Do‘kon sozlamalari
Настройки магазина сохранены	Do‘kon sozlamalari saqlandi
Наценка	Ustama
Наценка %s%% · прибыль %s	Ustama %s%% · foyda %s
Наценка с единицы: 	Birlikdan ustama: 
Начать инвентаризацию	Inventarizatsiyani boshlash
Не вернулись: 	Qaytmadi: 
Не выбран	Tanlanmagan
Не выбран — чек уйдёт в системную печать	Tanlanmagan — chek tizim chop etishiga yuboriladi
Не готово	Tayyor emas
Не отмечено · %s	Belgilanmagan · %s
Не перенесены: 	O‘tkazilmadi: 
Не показывать	Ko‘rsatilmasin
Не удалось записать документ	Hujjatni yozib bo‘lmadi
Не удалось напечатать чек	Chekni chop etib bo‘lmadi
Не удалось открыть браузер для оплаты	To‘lov uchun brauzerni ochib bo‘lmadi
Не удалось открыть звонилку	Qo‘ng‘iroq ilovasini ochib bo‘lmadi
Не удалось открыть настройки Bluetooth	Bluetooth sozlamalarini ochib bo‘lmadi
Не удалось открыть системную печать	Tizim chop etishini ochib bo‘lmadi
Не удалось открыть ссылку	Havolani ochib bo‘lmadi
Не удалось открыть страницу оплаты	To‘lov sahifasini ochib bo‘lmadi
Не удалось подготовить документ	Hujjatni tayyorlab bo‘lmadi
Недостача	Kamomad
