 · «%s»: владелец + 	 · «%s»: ээси + 
Восстановить	Калыбына келтирүү
Восстановление пароля	Сырсөздү калыбына келтирүү
Все	Баары
Все (%s)	Баары (%s)
Все · 	Баары · 
Все · %s	Баары · %s
Все выбранные товары отмечены.	Тандалган бардык товарлар белгиленди.
Все категории	Бардык категориялар
Все позиции, скидка и клиент будут сброшены.	Бардык позициялар, арзандатуу жана кардар тазаланат.
Все чеки	Бардык чектер
Все чеки отправлены.	Бардык чектер жөнөтүлдү.
Все штрихкоды	Бардык штрих-коддор
Всего на складе, шт	Кампада бардыгы, даана
Всего: 	Бардыгы: 
Вся сумма — картой	Бүт сумма — карта менен
Всё возвращено	Баары кайтарылды
Всё спокойно	Баары тынч
Вход владельца	Ээсинин кирүүсү
Вход выключен, права сохранятся	Кирүү өчүрүлдү, укуктар сакталат
Вход по ключу · права доступа	Ачкыч менен кирүү · кирүү укуктары
Вход по ключу работает	Ачкыч менен кирүү иштейт
Входим…	Кирип жатабыз…
Выберите готовые товары — они добавятся в магазин с фото и штрихкодом. Цены и остатки заполнит приход.	Даяр товарларды тандаңыз — алар дүкөнгө фото жана штрих-код менен кошулат. Бааларды жана калдыктарды кириш толтурат.
Выберите клиента (обязательно)	Кардарды тандаңыз (милдеттүү)
Выберите месяц	Айды тандаңыз
Выберите поставщика и товары, которые пришли	Жеткирүүчүнү жана келген товарларды тандаңыз
Выберите товары	Товарларды тандаңыз
Выбран	Тандалды
Выбран: %s	Тандалды: %s
Выбрана	Тандалды
Выдано кодов: %s, не удалось: %s	Берилген коддор: %s, ийгиликсиз: %s
Выдать внутренние коды	Ички коддорду берүү
Выдать штрихкоды?	Штрих-коддорду бересизби?
Выйти	Чыгуу
Выйти из аккаунта?	Аккаунттан чыгасызбы?
Выполнен	Аткарылды
Выполненные	Аткарылгандар
Выпустить	Чыгаруу
Выпустить новый ключ?	Жаңы ачкыч чыгарасызбы?
Выручка	Түшкөн акча
Где активен ваш ключ доступа	Кирүү ачкычыңыз кайда активдүү
Где искать	Кайдан издөө
Где открыт ваш ключ	Ачкычыңыз кайда ачык
Годен до 	Жарактуу мөөнөтү 
Готовится	Даярдалууда
Готово	Даяр
Готовятся	Даярдалууда
График возвратов %s	Кайтаруулар графиги %s
График долгов %s	Карыздар графиги %s
График прибыли %s	Пайда графиги %s
График продаж %s	Сатуулар графиги %s
Да, вернуть	Ооба, кайтаруу
Да, выдать	Ооба, берүү
Да, выйти	Ооба, чыгуу
Да, отменить	Ооба, жокко чыгаруу
Да, очистить	Ооба, тазалоо
Да, подтверждаю	Ооба, ырастайм
Да, провести	Ооба, жүргүзүү
Да, удалить	Ооба, өчүрүү
Данных за период нет.	Мезгил боюнча маалымат жок.
Дата	Дата
Дата ставится автоматически: %s	Дата автоматтык түрдө коюлат: %s
Действие	Аракет
Действия	Аракеттер
Действует до %s	%s чейин жарактуу
Действует, когда указана локация магазина, а покупатель отправил свою при заказе.	Дүкөндүн жайгашкан жери көрсөтүлгөндө жана сатып алуучу буйрутма берүүдө өзүнүкүн жөнөткөндө иштейт.
День закрыт: изменить и отменить можно только расход за сегодня.	Күн жабык: бүгүнкү чыгымды гана өзгөртүүгө жана жокко чыгарууга болот.
Детали долга	Карыздын чоо-жайы
Динамика %s	Динамика %s
Длина	Узундугу
Для выбранного периода расходы не найдены.	Тандалган мезгил үчүн чыгымдар табылган жок.
Для долга выберите клиента	Карыз үчүн кардарды тандаңыз
Добавить	Кошуу
Добавить · 	Кошуу · 
Добавить возврат	Кайтаруу кошуу
Добавить выбранные	Тандалгандарды кошуу
Добавить выбранные (%s)	Тандалгандарды кошуу (%s)
Добавить категорию	Категория кошуу
Добавить клиента	Кардар кошуу
Добавить код	Код кошуу
Добавить нового сотрудника	Жаңы кызматкер кошуу
Добавить поставщика	Жеткирүүчү кошуу
Добавить расход	Чыгым кошуу
Добавить товар	Товар кошуу
Добавить товары	Товарларды кошуу
Добавлено из каталога: %s	Каталогдон кошулду: %s
Добавлено: 	Кошулду: 
Добавлено: %s	Кошулду: %s
Добавьте сюда штрихкоды разных партий этого же товара. При продаже сканер найдёт товар по любому из них.	Ушул эле товардын ар кайсы партияларынын штрих-коддорун бул жерге кошуңуз. Сатууда сканер товарды алардын каалаганы боюнча табат.
Добавьте товар	Товар кошуңуз
Документ отменён — товар вернулся на склад	Документ жокко чыгарылды — товар кампага кайтты
Документов	Документтер
Долг	Карыз
Долг 	Карыз 
Долг клиента 	Кардардын карызы 
Долг полностью закрыт 🎉	Карыз толук жабылды 🎉
Долг поставщику	Жеткирүүчүгө карыз
Долг: %s	Карыз: %s
Долги	Карыздар
Долги клиентов не загрузились — список показан без них	Кардарлардын карыздары жүктөлгөн жок — тизме аларсыз көрсөтүлдү
Должников за период нет 🎉	Мезгил ичинде карызкерлер жок 🎉
Дополнительно: шаг продажи, штрихкоды	Кошумча: сатуу кадамы, штрих-коддор
Дополнительные штрихкоды	Кошумча штрих-коддор
Доставка	Жеткирүү
Доступ сохранится до конца оплаченного периода, потом Премиум отключится. Возобновить можно будет до этой даты.	Мүмкүнчүлүк төлөнгөн мөөнөттүн аягына чейин сакталат, андан кийин Премиум өчөт. Ошол датага чейин улантууга болот.
Доступно к возврату: %s %s	Кайтарууга жеткиликтүү: %s %s
Доступно только владельцу магазина	Дүкөндүн ээсине гана жеткиликтүү
Дробный товар: можно продать часть — например 0,5.	Бөлүнүүчү товар: бир бөлүгүн сатууга болот — мисалы 0,5.
Другое	Башка
Единиц	Бирдик
Единица	Бирдик
Единица измерения	Өлчөө бирдиги
Есть долг	Карыз бар
Ещё	Дагы
Ждут обработки	Иштетүүнү күтүүдө
Журнал	Журнал
Журнал доступен владельцу и менеджерам	Журнал ээсине жана менеджерлерге жеткиликтүү
Журнал доступен владельцу и сотрудникам с правом на настройки магазина.	Журнал ээсине жана дүкөн жөндөөлөрүнө укугу бар кызматкерлерге жеткиликтүү.
За «%s» возвратов нет.	«%s» үчүн кайтаруулар жок.
За «%s» приходов нет.	«%s» үчүн кириштер жок.
За «%s» проверок нет.	«%s» үчүн текшерүүлөр жок.
За период долги не погашали.	Мезгил ичинде карыздар жабылган эмес.
За этот день записей нет.	Бул күн үчүн жазуулар жок.
Забыли пароль?	Сырсөздү унуттуңузбу?
Загружаем архив…	Архивди жүктөп жатабыз…
Загружаем долги…	Карыздарды жүктөп жатабыз…
Загружаем историю товара…	Товардын тарыхын жүктөп жатабыз…
Загружаем оплаты…	Төлөмдөрдү жүктөп жатабыз…
Загружаем переписку…	Жазышууну жүктөп жатабыз…
Загружаем покупки…	Сатып алууларды жүктөп жатабыз…
Загружаем список…	Тизмени жүктөп жатабыз…
Загружаем статистику…	Статистиканы жүктөп жатабыз…
Загружаем…	Жүктөп жатабыз…
Загрузка…	Жүктөлүүдө…
Задайте адрес витрины в настройках	Жөндөөлөрдө витринанын дарегин коюңуз
Заказ #%s	Буйрутма #%s
Заказ %s выполнен	%s буйрутмасы аткарылды
Заказ %s отменён	%s буйрутмасы жокко чыгарылды
Заказ %s перенесён в кассу	%s буйрутмасы кассага өткөрүлдү
Заказ %s подтверждён	%s буйрутмасы ырасталды
Заказов ждут обработки: %s	Иштетүүнү күткөн буйрутмалар: %s
Заказов нет	Буйрутмалар жок
Заказы не загрузились	Буйрутмалар жүктөлгөн жок
Заказы онлайн	Онлайн буйрутмалар
Закрыт	Жабык
Закрытия	Жабуулар
Закрытия долгов	Карыздарды жабуу
Закрыть	Жабуу
Закрыть долг	Карызды жабуу
Закуп	Сатып алуу
Закупка	Сатып алуу
Закупочная цена	Сатып алуу баасы
Заменить	Алмаштыруу
Заменить корзину?	Себетти алмаштырасызбы?
Заметка	Эскертүү
Заметка к проверке	Текшерүүгө эскертүү
Заполните имя, название магазина, email и пароль.	Атыңызды, дүкөндүн аталышын, email жана сырсөздү толтуруңуз.
Заполните название и цены — остальное можно позже	Аталышын жана бааларды толтуруңуз — калганын кийин да толтурсаңыз болот
Зарегистрироваться	Катталуу
Заходили: 	Киргендер: 
ИТОГО	ЖЫЙЫНТЫГЫ
Излишек	Ашыкча
Изменить	Өзгөртүү
Изменить и отменить можно только расход за сегодня — за прошлые дни цифры закрыты.	Бүгүнкү чыгымды гана өзгөртүүгө жана жокко чыгарууга болот — өткөн күндөрдүн сандары жабык.
Изменить клиента	Кардарды өзгөртүү
Изменить расход	Чыгымды өзгөртүү
Изменить товар	Товарды өзгөртүү
Изменён	Өзгөртүлдү
Имя	Аты
Имя *	Аты *
Имя и фамилия	Аты-жөнү
Имя*	Аты*
Инвентаризаций по этому товару не было.	Бул товар боюнча инвентаризация болгон эмес.
Инвентаризаций пока не было. Нажмите «Начать инвентаризацию».	Азырынча инвентаризация болгон эмес. «Инвентаризацияны баштоо» баскычын басыңыз.
Инвентаризация	Инвентаризация
Инвентаризация 	Инвентаризация 
Инвентаризация доступна сотрудникам с правом «Инвентаризация». Историю проверок видно всем.	Инвентаризация «Инвентаризация» укугу бар кызматкерлерге жеткиликтүү. Текшерүүлөрдүн тарыхын баары көрөт.
Инвентаризация проведена	Инвентаризация жүргүзүлдү
Использовано %s из %s бесплатных продаж, осталось %s.	Колдонулду: %s / %s акысыз сатуу, %s калды.
История возвратов	Кайтаруулар тарыхы
История оплаты	Төлөм тарыхы
История приходов	Кириштер тарыхы
История проверок	Текшерүүлөр тарыхы
История расходов	Чыгымдар тарыхы
История списаний	Эсептен чыгаруулар тарыхы
Итого	Жыйынтыгы
Итого · наличными	Жыйынтыгы · накталай
Итого по закупке	Сатып алуу боюнча жыйынтык
Итого списано: 	Бардыгы эсептен чыгарылды: 
Ищем чек…	Чекти издеп жатабыз…
Ищем…	Издеп жатабыз…
К возврату %s. 	Кайтарууга %s. 
К оплате	Төлөөгө
К печати	Басып чыгарууга
КЛ	КЛ
Каждому присвоим внутренний EAN-13 (начинается на 2 — этот диапазон отведён под коды магазина). Существующие коды не тронем.	Ар бирине ички EAN-13 беребиз (2ден башталат — бул диапазон дүкөндүн коддоруна арналган). Бар болгон коддорго тийбейбиз.
Как будет выглядеть	Кандай көрүнөт
Как в приложении (%s)	Колдонмодогудай (%s)
Как записать покупателя	Сатып алуучуну кантип жазуу керек
Как подключить принтер	Принтерди кантип туташтыруу керек
Камера недоступна	Камера жеткиликсиз
Камера недоступна. Введите код вручную.	Камера жеткиликсиз. Кодду колдон киргизиңиз.
Карта	Карта
Карта недоступна без интернета	Интернетсиз карта жеткиликсиз
Картой	Карта менен
Карточка категории	Категориянын картасы
Карточка клиента	Кардардын картасы
Карточка клиента магазина	Дүкөн кардарынын картасы
Карточка клиента — тап по строке	Кардардын картасы — сапты басуу
Карточка сотрудника	Кызматкердин картасы
Карточка товара	Товардын картасы
Карточка товара — тап по строке	Товардын картасы — сапты басуу
Кассир	Кассир
Кассир: %s	Кассир: %s
Каталог FonRo	FonRo каталогу
Каталог пока пуст.	Каталог азырынча бош.
Каталог пуст — пересчитывать нечего	Каталог бош — кайра эсептөөгө эч нерсе жок
Каталог пуст — сначала добавьте товары.	Каталог бош — адегенде товарларды кошуңуз.
Категории	Категориялар
Категории %s	Категориялар %s
Категорий пока нет.	Азырынча категориялар жок.
Категория	Категория
Категория в архиве	Категория архивде
Категория вернулась в список	Категория тизмеге кайтты
Категория создана	Категория түзүлдү
Категориями управляют сотрудники с правом «Категории».	Категорияларды «Категориялар» укугу бар кызматкерлер башкарат.
Клиент	Кардар
Клиент #%s	Кардар #%s
Клиент добавлен	Кардар кошулду
Клиент создан	Кардар түзүлдү
Клиент:	Кардар:
Клиентов	Кардарлар
Клиентов не найдено.	Кардарлар табылган жок.
Клиентов пока нет. Добавьте первого кнопкой выше.	Азырынча кардарлар жок. Биринчисин жогорудагы баскыч менен кошуңуз.
Клиенты	Кардарлар
Клиенты с долгами	Карызы бар кардарлар
Клиенты с самым большим долгом	Эң чоң карызы бар кардарлар
Ключ выдаёт владелец в разделе «Сотрудники». Один ключ — одно устройство.	Ачкычты ээси «Кызматкерлер» бөлүмүндө берет. Бир ачкыч — бир түзмөк.
Ключ доступа	Кирүү ачкычы
Ключ доступа FonRo	FonRo кирүү ачкычы
Ключ доступа сотрудника	Кызматкердин кирүү ачкычы
Ключ ещё нигде не активирован.	Ачкыч эч жерде активдештирилген эмес.
Ключ скопирован	Ачкыч көчүрүлдү
Ключевые показатели	Негизги көрсөткүчтөр
Код из письма	Каттагы код
Код отправлен повторно. Проверьте почту и папку «Спам».	Код кайра жөнөтүлдү. Почтаны жана «Спам» папкасын текшериңиз.
Кода нет · %s %s	Код жок · %s %s
Коды выданы — теперь эти товары можно печатать	Коддор берилди — эми бул товарларды басып чыгарууга болот
Кол-во, %s	Саны, %s
Количество	Саны
Количество: 	Саны: 
Команда магазина	Дүкөндүн командасы
Копировать	Көчүрүү
Корзина	Себет
Корзина будет очищена, устройство отвяжется от ключа — слот освободится.	Себет тазаланат, түзмөк ачкычтан ажыратылат — орун бошойт.
Кроме владельца пока никого нет	Ээсинен башка азырынча эч ким жок
Кто записал	Ким жазган
Кто и сколько оплатил по выбранному периоду	Тандалган мезгилде ким канча төлөгөн
Кто и что изменил · было → стало	Ким эмнени өзгөрткөн · болгон → болду
Кто сколько продал за %s	%s ичинде ким канча сатты
Куплено %s %s · уже вернули %s	Сатып алынды %s %s · кайтарылганы %s
Листов A4	A4 барак
Листы A4	A4 барактар
Листы A4 — обычная самоклейка из канцелярского магазина. Остальные размеры — для этикеточного принтера с рулоном.	A4 барактар — кеңсе дүкөнүнөн алынган кадимки өзү жабышкыч. Калган өлчөмдөр — рулондуу этикетка принтери үчүн.
Логин и пароль — те же, что в приложении FonRo.	Логин жана сырсөз — FonRo колдонмосундагыдай эле.
Магазин	Дүкөн
Мало на складе	Кампада аз
Менеджер	Менеджер
Меняйте что нужно, остальное останется как было	Керектүүсүн өзгөртүңүз, калганы мурункудай калат
Мин. сумма товаров для бесплатной доставки (0 — без минимума)	Акысыз жеткирүү үчүн товарлардын мин. суммасы (0 — минимумсуз)
Мои устройства	Менин түзмөктөрүм
Мой магазин	Менин дүкөнүм
Мой онлайн-магазин	Менин онлайн-дүкөнүм
На листе	Баракта
На сколько кнопки + и − меняют количество этого товара в продаже.	+ жана − баскычтары сатууда бул товардын санын канчага өзгөртөт.
На сумму 	Суммасы 
На этом устройстве нет системной печати	Бул түзмөктө системалык басып чыгаруу жок
Наведите камеру на штрихкод товара.	Камераны товардын штрих-кодуна багыттаңыз.
Нажмите возврат, чтобы посмотреть детали	Чоо-жайын көрүү үчүн кайтарууну басыңыз
Нажмите документ, чтобы посмотреть состав	Курамын көрүү үчүн документти басыңыз
Нажмите на карту, чтобы поставить точку. Голубой круг — радиус бесплатной доставки.	Чекит коюу үчүн картаны басыңыз. Көгүш тегерек — акысыз жеткирүүнүн радиусу.
Нажмите продажу, чтобы посмотреть состав	Курамын көрүү үчүн сатууну басыңыз
Назад	Артка
Название	Аталышы
Название *	Аталышы *
Название магазина	Дүкөндүн аталышы
Название соберётся так: Чехол · Чёрный · M	Аталышы мындай түзүлөт: Чехол · Кара · M
Название товара	Товардын аталышы
Название — минимум 2 символа	Аталышы — минимум 2 белги
Название, артикул или код	Аталышы, артикул же код
Найти чек	Чекти табуу
Накладная	Накладная
Накладная № 	Накладная № 
Наклеек подряд	Катары менен чаптама
Наклейки для товаров, которые приехали без кода	Кодсуз келген товарлар үчүн чаптамалар
Наличные	Накталай
Наличные + карта = сумма чека	Накталай + карта = чектин суммасы
Наличными	Накталай
Напишите нам — ответим в течение рабочего дня.	Бизге жазыңыз — жумуш күнү ичинде жооп беребиз.
Напишите сообщение…	Билдирүү жазыңыз…
Например: Ali Valiyev	Мисалы: Ali Valiyev
Например: COLA-001	Мисалы: COLA-001
Например: Coca Cola	Мисалы: Coca Cola
Например: Напитки	Мисалы: Суусундуктар
Например: Ойбек Трейд	Мисалы: Ойбек Трейд
Например: возит воду по вторникам	Мисалы: шейшемби сайын суу ташыйт
Например: клиент вернул товар	Мисалы: кардар товарды кайтарды
Например: пересчёт после смены	Мисалы: смена бүткөндөн кийинки кайра эсептөө
Например: привезли утром, коробка помята	Мисалы: эртең менен алып келишти, кутусу майышкан
Например: товара нет в наличии	Мисалы: товар жок
Настройки	Жөндөөлөр
Настройки магазина	Дүкөндүн жөндөөлөрү
Настройки магазина сохранены	Дүкөндүн жөндөөлөрү сакталды
Наценка	Үстөк
Наценка %s%% · прибыль %s	Үстөк %s%% · пайда %s
Наценка с единицы: 	Бирдиктен үстөк: 
Начать инвентаризацию	Инвентаризацияны баштоо
Не вернулись: 	Кайтпагандар: 
Не выбран	Тандалган жок
Не выбран — чек уйдёт в системную печать	Тандалган жок — чек системалык басып чыгарууга кетет
Не готово	Даяр эмес
Не отмечено · %s	Белгиленген жок · %s
Не перенесены: 	Өткөрүлбөгөндөр: 
Не показывать	Көрсөтпөө
Не удалось записать документ	Документти жазуу мүмкүн болгон жок
Не удалось напечатать чек	Чекти басып чыгаруу мүмкүн болгон жок
Не удалось открыть браузер для оплаты	Төлөм үчүн браузерди ачуу мүмкүн болгон жок
Не удалось открыть звонилку	Чалуу колдонмосун ачуу мүмкүн болгон жок
Не удалось открыть настройки Bluetooth	Bluetooth жөндөөлөрүн ачуу мүмкүн болгон жок
Не удалось открыть системную печать	Системалык басып чыгарууну ачуу мүмкүн болгон жок
Не удалось открыть ссылку	Шилтемени ачуу мүмкүн болгон жок
Не удалось открыть страницу оплаты	Төлөм бетин ачуу мүмкүн болгон жок
Не удалось подготовить документ	Документти даярдоо мүмкүн болгон жок
Недостача	Жетишпөөчүлүк
Неизвестная ошибка	Белгисиз ката
Необязательно	Милдеттүү эмес
Непогашенные долги	Жабылбаган карыздар
Непогашенных долгов за период нет 🎉	Мезгил ичинде жабылбаган карыздар жок 🎉
Нет в наличии	Жок
Нет данных за период.	Мезгил боюнча маалымат жок.
Нет долгов за выбранный период.	Тандалган мезгилде карыздар жок.
