 · «%s»: владелец + 	 · "%s": owner + 
Активна до %s, потом отключится	Active until %s, then it switches off
Активна до конца оплаченного периода	Active until the end of the paid period
Активны: 	Active: 
Активные	Active
Активные входы	Active logins
Активные категории	Active categories
Активные товары	Active items
Активных категорий нет.	No active categories.
Арт: %s	SKU: %s
Артикул	SKU
Артикул / внутренний код	SKU / internal code
Архив	Archive
Архив · 	Archive · 
Архив категорий	Category archive
Архив пуст.	The archive is empty.
Архив товаров	Item archive
Архивировать	Archive
Архивировать категорию?	Archive category?
Архивировать товар?	Archive item?
Архивная категория не показывается в фильтрах и в форме товара. Товары при этом остаются на складе.	An archived category is not shown in filters or in the item form. The items stay in stock.
Аудит	Audit
Без доступа к Bluetooth список принтеров не открыть	Without Bluetooth access the printer list cannot be opened
Без имени	No name
Без категории	No category
Без клиента	No customer
Без кода	No code
Без кода · %s	No code · %s
Без лишнего тапа: чек уходит на принтер, как только продажа проведена	No extra tap: the receipt goes to the printer as soon as the sale is completed
Без поставщика	No supplier
Бесплатные продажи закончились (%s). Выберите тариф, чтобы продолжать продавать и проводить приход.	Free sales have run out (%s). Choose a plan to keep selling and recording stock-ins.
Бесплатный лимит веб-версии FonRo (%s) исчерпан. 	The free limit of the FonRo web version (%s) is used up. 
Бесплатный полный доступ активен	Free full access is active
Бесплатный полный доступ до %s	Free full access until %s
Больше остатка списать нельзя	Cannot write off more than the stock
Буфер обмена недоступен	Clipboard is not available
Было: 	Was: 
Быстрые действия	Quick actions
В архив	To archive
В архиве	In archive
В ближайшие дни: %s · 	In the coming days: %s · 
В долг	On credit
В заказе нет позиций.	The order has no items.
В кассе уже набран чек: позиций — %s. 	A receipt is already started at the till: items — %s. 
В корзину	Add to cart
В окне печати поставьте масштаб 100% и снимите поля по умолчанию — иначе наклейки уедут мимо разметки листа.	In the print dialog set the scale to 100% and remove the default margins — otherwise the labels will not line up with the sheet layout.
В очереди	In queue
В этой категории ничего не найдено.	Nothing found in this category.
В этой категории пока нет товаров.	There are no items in this category yet.
В этом статусе пусто.	Nothing in this status.
ВСЕ ПРОДАННЫЕ ТОВАРЫ	ALL SOLD ITEMS
Валюта витрины	Storefront currency
Валюта кассы	Till currency
Валюта сохранена	Currency saved
Вариант: цвет, размер, память	Variant: color, size, memory
Ваш ответ	Your reply
Ваша версия: 	Your version: 
Введите 6-значный код из письма.	Enter the 6-digit code from the email.
Введите email и пароль.	Enter your email and password.
Введите email.	Enter your email.
Введите имя клиента	Enter the customer name
Введите имя сотрудника	Enter the employee name
Введите ключ доступа полностью.	Enter the full access key.
Введите название	Enter a name
Введите название товара.	Enter the item name.
Введите номер чека	Enter the receipt number
Введите номер чека или отсканируйте QR-код с чека.	Enter the receipt number or scan the QR code on the receipt.
Введите штрихкод	Enter the barcode
Верно	Correct
Вернуть	Return
Вернуть · 	Return · 
Вернуть в кассу	Return to till
Вернуть всё	Return all
Вес	Weight
Витрина закрыта: покупатели не видят магазин.	The storefront is closed: customers cannot see the shop.
Витрина открыта: покупатели видят товары и делают заказы.	The storefront is open: customers can see items and place orders.
Владелец	Owner
Владелец + 	Owner + 
Владелец входит по email и паролю — ключ доступа ему не нужен, а права у него полные и не редактируются.	The owner logs in with email and password — no access key is needed, and their rights are full and cannot be edited.
Владелец имеет полный доступ ко всем разделам.	The owner has full access to all sections.
Влияет только на то, как касса показывает суммы. У витрины и iOS-приложения валюта своя.	Affects only how the till shows amounts. The storefront and the iOS app have their own currency.
Внесено при покупке	Paid at purchase
Внесено сейчас:	Paid now:
Внесите фактический остаток хотя бы по одному товару	Enter the actual stock for at least one item
Возврат	Return
Возврат 	Return 
Возврат -%s	Return -%s
Возврат · 	Return · 
Возврат от %s	Return from %s
Возврат проведён	Return completed
Возврат товара	Item return
Возврат −%s	Return −%s
Возвратов	Returns
Возвратов по этому товару не было.	There have been no returns for this item.
Возвратов пока нет.	No returns yet.
Возвраты	Returns
Возвраты доступны сотрудникам с правом «Приём возвратов».	Returns are available to employees with the "Accept returns" right.
Возвраты по дням	Returns by day
Возвраты по часам	Returns by hour
Возвращён	Returned
Возвращённые товары	Returned items
Возобновить подписку	Resume subscription
Войти	Log in
Войти с него снова можно будет тем же ключом — слот освободится.	You can log in from it again with the same key — the slot will be freed.
Восстановить	Restore
Восстановление пароля	Password recovery
Все	All
Все (%s)	All (%s)
Все · 	All · 
Все · %s	All · %s
Все выбранные товары отмечены.	All selected items are marked.
Все категории	All categories
Все позиции, скидка и клиент будут сброшены.	All items, the discount and the customer will be cleared.
Все чеки	All receipts
Все чеки отправлены.	All receipts have been sent.
Все штрихкоды	All barcodes
Всего на складе, шт	Total in stock, pcs
Всего: 	Total: 
Вся сумма — картой	Full amount by card
Всё возвращено	Everything returned
Всё спокойно	All quiet
Вход владельца	Owner login
Вход выключен, права сохранятся	Login is off, rights will be kept
Вход по ключу · права доступа	Key login · access rights
Вход по ключу работает	Key login works
Входим…	Logging in…
Выберите готовые товары — они добавятся в магазин с фото и штрихкодом. Цены и остатки заполнит приход.	Pick ready-made items — they will be added to the shop with a photo and a barcode. Prices and stock will be filled in by a stock-in.
Выберите клиента (обязательно)	Select a customer (required)
Выберите месяц	Select a month
Выберите поставщика и товары, которые пришли	Select the supplier and the items that arrived
Выберите товары	Select items
Выбран	Selected
Выбран: %s	Selected: %s
Выбрана	Selected
Выдано кодов: %s, не удалось: %s	Codes issued: %s, failed: %s
Выдать внутренние коды	Issue internal codes
Выдать штрихкоды?	Issue barcodes?
Выйти	Log out
Выйти из аккаунта?	Log out of the account?
Выполнен	Completed
Выполненные	Completed
Выпустить	Issue
Выпустить новый ключ?	Issue a new key?
Выручка	Revenue
Где активен ваш ключ доступа	Where your access key is active
Где искать	Where to search
Где открыт ваш ключ	Where your key is open
Годен до 	Best before 
Готовится	Preparing
Готово	Done
Готовятся	Preparing
График возвратов %s	Returns chart %s
График долгов %s	Debt chart %s
График прибыли %s	Profit chart %s
График продаж %s	Sales chart %s
Да, вернуть	Yes, return
Да, выдать	Yes, issue
Да, выйти	Yes, log out
Да, отменить	Yes, cancel
Да, очистить	Yes, clear
Да, подтверждаю	Yes, I confirm
Да, провести	Yes, post
Да, удалить	Yes, delete
Данных за период нет.	No data for the period.
Дата	Date
Дата ставится автоматически: %s	The date is set automatically: %s
Действие	Action
Действия	Actions
Действует до %s	Valid until %s
Действует, когда указана локация магазина, а покупатель отправил свою при заказе.	Works when the shop location is set and the customer shared theirs with the order.
День закрыт: изменить и отменить можно только расход за сегодня.	The day is closed: only today's expense can be edited or cancelled.
Детали долга	Debt details
Динамика %s	Trend %s
Длина	Length
Для выбранного периода расходы не найдены.	No expenses found for the selected period.
Для долга выберите клиента	Select a customer for the debt
Добавить	Add
Добавить · 	Add · 
Добавить возврат	Add return
Добавить выбранные	Add selected
Добавить выбранные (%s)	Add selected (%s)
Добавить категорию	Add category
Добавить клиента	Add customer
Добавить код	Add code
Добавить нового сотрудника	Add a new employee
Добавить поставщика	Add supplier
Добавить расход	Add expense
Добавить товар	Add item
Добавить товары	Add items
Добавлено из каталога: %s	Added from the catalog: %s
Добавлено: 	Added: 
Добавлено: %s	Added: %s
Добавьте сюда штрихкоды разных партий этого же товара. При продаже сканер найдёт товар по любому из них.	Add here the barcodes of different batches of the same item. At the till the scanner will find the item by any of them.
Добавьте товар	Add an item
Документ отменён — товар вернулся на склад	Document cancelled — the items are back in stock
Документов	Documents
Долг	Debt
Долг 	Debt 
Долг клиента 	Customer debt 
Долг полностью закрыт 🎉	The debt is fully paid off 🎉
Долг поставщику	Debt to supplier
Долг: %s	Debt: %s
Долги	Debts
Долги клиентов не загрузились — список показан без них	Customer debts failed to load — the list is shown without them
Должников за период нет 🎉	No debtors for the period 🎉
Дополнительно: шаг продажи, штрихкоды	Advanced: sale step, barcodes
Дополнительные штрихкоды	Additional barcodes
Доставка	Delivery
Доступ сохранится до конца оплаченного периода, потом Премиум отключится. Возобновить можно будет до этой даты.	Access stays until the end of the paid period, then Premium switches off. You can resume before that date.
Доступно к возврату: %s %s	Available to return: %s %s
Доступно только владельцу магазина	Available only to the shop owner
Дробный товар: можно продать часть — например 0,5.	Fractional item: you can sell a part — for example 0.5.
Другое	Other
Единиц	Units
Единица	Unit
Единица измерения	Unit of measure
Есть долг	Has debt
Ещё	More
Ждут обработки	Awaiting processing
Журнал	Log
Журнал доступен владельцу и менеджерам	The log is available to the owner and managers
Журнал доступен владельцу и сотрудникам с правом на настройки магазина.	The log is available to the owner and employees with the shop settings right.
За «%s» возвратов нет.	No returns for "%s".
За «%s» приходов нет.	No stock-ins for "%s".
За «%s» проверок нет.	No stocktakes for "%s".
За период долги не погашали.	No debts were repaid in the period.
За этот день записей нет.	No records for this day.
Забыли пароль?	Forgot your password?
Загружаем архив…	Loading the archive…
Загружаем долги…	Loading debts…
Загружаем историю товара…	Loading item history…
Загружаем оплаты…	Loading payments…
Загружаем переписку…	Loading the conversation…
Загружаем покупки…	Loading purchases…
Загружаем список…	Loading the list…
Загружаем статистику…	Loading statistics…
Загружаем…	Loading…
Загрузка…	Loading…
Задайте адрес витрины в настройках	Set the storefront address in settings
Заказ #%s	Order #%s
Заказ %s выполнен	Order %s completed
Заказ %s отменён	Order %s cancelled
Заказ %s перенесён в кассу	Order %s moved to the till
Заказ %s подтверждён	Order %s confirmed
Заказов ждут обработки: %s	Orders awaiting processing: %s
Заказов нет	No orders
Заказы не загрузились	Orders failed to load
Заказы онлайн	Online orders
Закрыт	Closed
Закрытия	Payoffs
Закрытия долгов	Debt payoffs
Закрыть	Close
Закрыть долг	Pay off debt
Закуп	Cost
Закупка	Purchase
Закупочная цена	Cost price
Заменить	Replace
Заменить корзину?	Replace the cart?
Заметка	Note
Заметка к проверке	Stocktake note
Заполните имя, название магазина, email и пароль.	Fill in your name, shop name, email and password.
Заполните название и цены — остальное можно позже	Fill in the name and prices — the rest can wait
Зарегистрироваться	Sign up
Заходили: 	Logged in: 
ИТОГО	TOTAL
Излишек	Surplus
Изменить	Edit
Изменить и отменить можно только расход за сегодня — за прошлые дни цифры закрыты.	Only today's expense can be edited or cancelled — figures for past days are closed.
Изменить клиента	Change customer
Изменить расход	Edit expense
Изменить товар	Edit item
Изменён	Changed
Имя	Name
Имя *	Name *
Имя и фамилия	First and last name
Имя*	Name*
Инвентаризаций по этому товару не было.	There have been no stocktakes for this item.
Инвентаризаций пока не было. Нажмите «Начать инвентаризацию».	There have been no stocktakes yet. Tap "Start stocktake".
Инвентаризация	Stocktake
Инвентаризация 	Stocktake 
Инвентаризация доступна сотрудникам с правом «Инвентаризация». Историю проверок видно всем.	Stocktake is available to employees with the "Stocktake" right. The stocktake history is visible to everyone.
Инвентаризация проведена	Stocktake completed
Использовано %s из %s бесплатных продаж, осталось %s.	%s of %s free sales used, %s left.
История возвратов	Return history
История оплаты	Payment history
История приходов	Stock-in history
История проверок	Stocktake history
История расходов	Expense history
История списаний	Write-off history
Итого	Total
Итого · наличными	Total · cash
Итого по закупке	Purchase total
Итого списано: 	Total written off: 
Ищем чек…	Looking for the receipt…
Ищем…	Searching…
К возврату %s. 	To return %s. 
К оплате	To pay
К печати	To print
КЛ	CL
Каждому присвоим внутренний EAN-13 (начинается на 2 — этот диапазон отведён под коды магазина). Существующие коды не тронем.	We will assign each an internal EAN-13 (starting with 2 — this range is reserved for in-shop codes). Existing codes will not be touched.
Как будет выглядеть	How it will look
Как в приложении (%s)	Same as in the app (%s)
Как записать покупателя	How to record a customer
Как подключить принтер	How to connect a printer
Камера недоступна	Camera is not available
Камера недоступна. Введите код вручную.	Camera is not available. Enter the code manually.
Карта	Card
Карта недоступна без интернета	The map is not available offline
Картой	By card
Карточка категории	Category card
Карточка клиента	Customer card
Карточка клиента магазина	Shop customer card
Карточка клиента — тап по строке	Customer card — tap the row
Карточка сотрудника	Employee card
Карточка товара	Item card
Карточка товара — тап по строке	Item card — tap the row
Кассир	Cashier
Кассир: %s	Cashier: %s
Каталог FonRo	FonRo catalog
Каталог пока пуст.	The catalog is empty for now.
Каталог пуст — пересчитывать нечего	The catalog is empty — nothing to count
Каталог пуст — сначала добавьте товары.	The catalog is empty — add items first.
Категории	Categories
Категории %s	Categories %s
Категорий пока нет.	No categories yet.
Категория	Category
Категория в архиве	Category archived
Категория вернулась в список	The category is back in the list
Категория создана	Category created
Категориями управляют сотрудники с правом «Категории».	Categories are managed by employees with the "Categories" right.
Клиент	Customer
Клиент #%s	Customer #%s
Клиент добавлен	Customer added
Клиент создан	Customer created
Клиент:	Customer:
Клиентов	Customers
Клиентов не найдено.	No customers found.
Клиентов пока нет. Добавьте первого кнопкой выше.	No customers yet. Add the first one with the button above.
Клиенты	Customers
Клиенты с долгами	Customers with debts
Клиенты с самым большим долгом	Customers with the largest debt
Ключ выдаёт владелец в разделе «Сотрудники». Один ключ — одно устройство.	The key is issued by the owner in the "Employees" section. One key — one device.
Ключ доступа	Access key
Ключ доступа FonRo	FonRo access key
Ключ доступа сотрудника	Employee access key
Ключ ещё нигде не активирован.	The key has not been activated anywhere yet.
Ключ скопирован	Key copied
Ключевые показатели	Key figures
Код из письма	Code from the email
Код отправлен повторно. Проверьте почту и папку «Спам».	The code has been sent again. Check your inbox and the "Spam" folder.
Кода нет · %s %s	No code · %s %s
Коды выданы — теперь эти товары можно печатать	Codes issued — these items can be printed now
Кол-во, %s	Qty, %s
Количество	Quantity
Количество: 	Quantity: 
Команда магазина	Shop team
Копировать	Copy
Корзина	Cart
Корзина будет очищена, устройство отвяжется от ключа — слот освободится.	The cart will be cleared, the device will be unlinked from the key — the slot will be freed.
Кроме владельца пока никого нет	No one but the owner yet
Кто записал	Who recorded it
Кто и сколько оплатил по выбранному периоду	Who paid and how much in the selected period
Кто и что изменил · было → стало	Who changed what · was → now
Кто сколько продал за %s	Who sold how much in %s
Куплено %s %s · уже вернули %s	Bought %s %s · already returned %s
Листов A4	A4 sheets
Листы A4	A4 sheets
Листы A4 — обычная самоклейка из канцелярского магазина. Остальные размеры — для этикеточного принтера с рулоном.	A4 sheets are ordinary self-adhesive paper from a stationery shop. The other sizes are for a label printer with a roll.
Логин и пароль — те же, что в приложении FonRo.	The login and password are the same as in the FonRo app.
Магазин	Shop
Мало на складе	Low stock
Менеджер	Manager
Меняйте что нужно, остальное останется как было	Change what you need, the rest stays as it was
Мин. сумма товаров для бесплатной доставки (0 — без минимума)	Min. item amount for free delivery (0 — no minimum)
Мои устройства	My devices
Мой магазин	My shop
Мой онлайн-магазин	My online shop
На листе	Per sheet
На сколько кнопки + и − меняют количество этого товара в продаже.	How much the + and − buttons change the quantity of this item in a sale.
На сумму 	Totalling 
На этом устройстве нет системной печати	This device has no system printing
Наведите камеру на штрихкод товара.	Point the camera at the item barcode.
Нажмите возврат, чтобы посмотреть детали	Tap a return to see the details
Нажмите документ, чтобы посмотреть состав	Tap a document to see its contents
Нажмите на карту, чтобы поставить точку. Голубой круг — радиус бесплатной доставки.	Tap the map to place a point. The blue circle is the free delivery radius.
Нажмите продажу, чтобы посмотреть состав	Tap a sale to see its contents
Назад	Back
Название	Name
Название *	Name *
Название магазина	Shop name
Название соберётся так: Чехол · Чёрный · M	The name will be built like this: Case · Black · M
Название товара	Item name
Название — минимум 2 символа	Name — at least 2 characters
Название, артикул или код	Name, SKU or code
Найти чек	Find receipt
Накладная	Delivery note
Накладная № 	Delivery note № 
Наклеек подряд	Labels in a row
Наклейки для товаров, которые приехали без кода	Labels for items that arrived without a code
Наличные	Cash
Наличные + карта = сумма чека	Cash + card = receipt total
Наличными	In cash
Напишите нам — ответим в течение рабочего дня.	Write to us — we will reply within one business day.
Напишите сообщение…	Write a message…
Например: Ali Valiyev	For example: Ali Valiyev
Например: COLA-001	For example: COLA-001
Например: Coca Cola	For example: Coca Cola
Например: Напитки	For example: Drinks
Например: Ойбек Трейд	For example: Oybek Trade
Например: возит воду по вторникам	For example: delivers water on Tuesdays
Например: клиент вернул товар	For example: the customer returned an item
Например: пересчёт после смены	For example: recount after the shift
Например: привезли утром, коробка помята	For example: delivered in the morning, box is dented
Например: товара нет в наличии	For example: the item is out of stock
Настройки	Settings
Настройки магазина	Shop settings
Настройки магазина сохранены	Shop settings saved
Наценка	Markup
Наценка %s%% · прибыль %s	Markup %s%% · profit %s
Наценка с единицы: 	Markup per unit: 
Начать инвентаризацию	Start stocktake
Не вернулись: 	Not returned: 
Не выбран	Not selected
Не выбран — чек уйдёт в системную печать	Not selected — the receipt will go to system printing
Не готово	Not ready
Не отмечено · %s	Not marked · %s
Не перенесены: 	Not moved: 
Не показывать	Do not show
Не удалось записать документ	Could not save the document
Не удалось напечатать чек	Could not print the receipt
Не удалось открыть браузер для оплаты	Could not open the browser for payment
Не удалось открыть звонилку	Could not open the phone dialer
Не удалось открыть настройки Bluetooth	Could not open Bluetooth settings
Не удалось открыть системную печать	Could not open system printing
Не удалось открыть ссылку	Could not open the link
Не удалось открыть страницу оплаты	Could not open the payment page
Не удалось подготовить документ	Could not prepare the document
Недостача	Shortage
Неизвестная ошибка	Unknown error
Необязательно	Optional
Непогашенные долги	Outstanding debts
Непогашенных долгов за период нет 🎉	No outstanding debts for the period 🎉
Нет в наличии	Out of stock
Нет данных за период.	No data for the period.
Нет долгов за выбранный период.	No debts for the selected period.
Нет доступа к Bluetooth. Разрешите его в настройках телефона.	No Bluetooth access. Allow it in your phone settings.
Нет доступа к долгам	No access to debts
Нет доступа к истории продаж	No access to sales history
Нет доступа к камере. Разрешите её в настройках телефона.	No camera access. Allow it in your phone settings.
Нет доступа к расходам	No access to expenses
Нет доступа к этому разделу	No access to this section
Нет доступа.	No access.
Нет права на возвраты	No right to accept returns
Нет права на изменение товаров	No right to edit items
Нет права на инвентаризацию	No right to run a stocktake
Нет права на приход	No right to record stock-ins
Нет права на расходы	No right to record expenses
Нет соединения с сервером. Проверьте интернет.	No connection to the server. Check your internet.
Нечего печатать: не выбран ни один товар	Nothing to print: no item selected
Никого не нашлось	No one found
Ничего не найдено	Nothing found
Ничего не найдено.	Nothing found.
Ничего не найдено. Проверьте название или штрихкод.	Nothing found. Check the name or the barcode.
Ничего не отмечено	Nothing marked
Новая инвентаризация	New stocktake
Новая категория	New category
Новые	New
Новые заказы	New orders
Новые заказы с онлайн-витрины	New orders from the online storefront
Новый	New
Новый возврат	New return
Новый клиент	New customer
Новый ключ выпущен — передайте его сотруднику	A new key has been issued — give it to the employee
Новый код	New code
Новый пароль	New password
Новый пароль (минимум 6 символов)	New password (at least 6 characters)
Новый поставщик	New supplier
Новый приход	New stock-in
Новый расход	New expense
Новый сотрудник	New employee
Новый товар	New item
Новый штрихкод	New barcode
Новых заказов нет	No new orders
Номер накладной	Delivery note number
Номер чека	Receipt number
Обновите FonRo	Update FonRo
Обновить	Update
Оборот по приходам	Stock-in turnover
Общий долг	Total debt
Объём	Volume
Один ключ доступа работает на ограниченном числе устройств. Отвязка освобождает слот: на отвязанном телефоне вход перестанет работать сразу, а на этом останется как есть.	One access key works on a limited number of devices. Unlinking frees a slot: on the unlinked phone login stops working immediately, and on this one it stays as it is.
Онлайн	Online
Онлайн-магазин	Online shop
Описание для покупателей	Description for customers
Опишите вопрос или проблему — ответим прямо здесь. Переписку видите только вы и поддержка.	Describe your question or problem — we will reply right here. Only you and support can see the conversation.
Оплат ещё не было	No payments yet
Оплата	Payment
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту и нажмите ещё раз.	The payment is not confirmed yet. If you have just paid — wait a minute and tap again.
Оплата ещё не подтверждена. Если только что оплатили — подождите минуту.	The payment is not confirmed yet. If you have just paid — wait a minute.
Оплачен	Paid
Оплачено	Paid
Оплачено 	Paid 
Оплачено поставщику	Paid to supplier
Оплачено:	Paid:
Основной штрихкод	Main barcode
Осталось	Left
Останется долг:	Remaining debt:
Остаток	Stock
Остаток %s %s	Stock %s %s
Остаток ≤ %s · 	Stock ≤ %s · 
Остаток, шт	Stock, pcs
Остаток: %s %s	Stock: %s %s
Ответ на отзыв	Reply to review
Ответ покупателю	Reply to customer
Ответ сохранён	Reply saved
Ответы службы поддержки	Support replies
Отвязать	Unlink
Отвязать устройство?	Unlink the device?
Отзывов пока нет	No reviews yet
Отключить принтер	Disconnect printer
Отключён	Disabled
Открыт	Open
Открытый	Open
Открытых долгов нет 🎉	No open debts 🎉
Открыть чек	Open receipt
Отложенная отправка	Deferred sending
Отложенные чеки	Deferred receipts
Отложенные чеки отправлены	Deferred receipts sent
Отложенных чеков нет	No deferred receipts
Отложить чек	Park receipt
Отмена	Cancel
Отменить	Cancel
Отменить заказ	Cancel order
Отменить заказ?	Cancel order?
Отменить подписку	Cancel subscription
Отменить подписку?	Cancel subscription?
Отменить расход	Cancel expense
Отменить расход?	Cancel expense?
Отменить списание	Cancel write-off
Отменить списание?	Cancel write-off?
Отменён	Cancelled
Отменённые	Cancelled
Отметьте «Верно» или внесите фактический остаток.	Tick "Correct" or enter the actual stock.
Отметьте хотя бы один товар	Select at least one item
Отмечено · %s из %s	Selected · %s of %s
Отмечено: 	Selected: 
Отправить	Send
Отправить код ещё раз	Resend code
Отправить сейчас	Send now
Отправка отложенных чеков	Sending pending receipts
Отправлено: 	Sent: 
Отправляем код…	Sending code…
Отправляем…	Sending…
Отсканированные товары	Scanned items
Оформить подписку	Subscribe
Оформление кассы на этом устройстве. На печать чеков и этикеток не влияет.	Till appearance on this device. Does not affect receipt or label printing.
Оформление локальной продажи	Completing a local sale
Очередь пуста — ни одна продажа не потерялась.	Queue is empty — no sale was lost.
Очистить	Clear
Очистить чек?	Clear receipt?
Ошибка	Error
Ошибка сервера (%s)	Server error (%s)
Пара слов о магазине	A few words about the shop
Параметр 1	Option 1
Параметр 2	Option 2
Пароли не совпадают.	Passwords do not match.
Пароль	Password
Пароль (минимум 6 символов)	Password (at least 6 characters)
Пароль должен быть минимум 6 символов.	Password must be at least 6 characters.
Пароль обновлён. Войдите с новым паролем.	Password updated. Sign in with the new password.
Первичная оплата	Initial payment
Перевыпустить ключ	Reissue key
Перенос заказа очистит корзину и положит в неё товары заказа.	Moving the order will clear the cart and put the order's items into it.
Переносить нечего: этих товаров нет в каталоге или нет на складе	Nothing to move: these items are not in the catalogue or not in stock
Печатаем…	Printing…
Печатать чек сразу после продажи	Print receipt right after the sale
Печать	Print
Печать доступна только при открытом приложении	Printing works only while the app is open
Печать штрихкодов	Barcode printing
По количеству	By quantity
По ней считается, сколько знаков влезает в строку чека	Used to work out how many characters fit in a receipt line
По одной	One by one
По сумме	By amount
По этой позиции возвращать нечего	Nothing to return for this line
Повторите пароль	Repeat password
Повторить	Retry
Погашение долга	Debt repayment
Погашений долга не было.	No debt repayments yet.
Погашено	Repaid
Подарок от FonRo	Gift from FonRo
Поддержка	Support
Поддержка FonRo	FonRo support
Поделитесь ссылкой магазина с покупателями.	Share the shop link with customers.
Поделиться ссылкой	Share link
Подписка активна	Subscription active
Подписка активна. Спасибо!	Subscription active. Thank you!
Подписка возобновлена	Subscription resumed
Подписка отменена	Subscription cancelled
Подписка отменена. Доступ — до конца периода.	Subscription cancelled. Access lasts until the end of the period.
Подпиской магазина распоряжается владелец.	The shop subscription is managed by the owner.
Подтвердить	Confirm
Подтверждён	Confirmed
Подытог	Subtotal
Позиции не переданы сервером.	The server did not send the line items.
Позиции проверки	Check lines
Позиции чека	Receipt lines
Позиций	Lines
Позиций: %s	Lines: %s
Позиций: %s. Разница %s 	Lines: %s. Difference %s 
Поиск	Search
Поиск в каталоге…	Search the catalogue…
Поиск клиента	Find customer
Поиск по долгам	Search debts
Поиск по имени или телефону	Search by name or phone
Поиск по названию, телефону или заметке	Search by name, phone or note
Поиск среди выбранных	Search within selected
Поиск товара или кода	Search item or code
Поиск товара, артикула или кода	Search item, SKU or code
Поиск товара, кода или артикула	Search item, code or SKU
Поиск товара, штрихкод	Search item, barcode
Пока не получилось. Чеки останутся в очереди и уйдут сами, как только появится связь.	Didn't work this time. The receipts stay in the queue and will send themselves once there is a connection.
Показаны первые %s из %s — уточните поиск.	Showing the first %s of %s — refine your search.
Показаны последние %s из %s —	Showing the last %s of %s —
Показатели магазина скрыты правами доступа.	Shop figures are hidden by access rights.
Показать	Show
Показать ещё (%s)	Show more (%s)
Показать товары категории	Show category items
Покупатели смогут оставлять отзывы на витрине.	Customers will be able to leave reviews on the storefront.
Покупатели увидят все цены на витрине в этой валюте.	Customers will see all storefront prices in this currency.
