 · «%s»: владелец + 	 · «%s»: иесі + 
Заказ %s перенесён в кассу	%s тапсырысы кассаға көшірілді
Заказ %s подтверждён	%s тапсырысы расталды
Заказов ждут обработки: %s	Өңдеуді күткен тапсырыстар: %s
Заказов нет	Тапсырыстар жоқ
Заказы не загрузились	Тапсырыстар жүктелмеді
Заказы онлайн	Онлайн тапсырыстар
Закрыт	Жабық
Закрытия	Жабулар
Закрытия долгов	Қарыздарды жабу
Закрыть	Жабу
Закрыть долг	Қарызды жабу
Закуп	Сатып алу
Закупка	Сатып алу
Закупочная цена	Сатып алу бағасы
Заменить	Ауыстыру
Заменить корзину?	Себет ауыстырылсын ба?
Заметка	Ескертпе
Заметка к проверке	Тексеруге ескертпе
Заполните имя, название магазина, email и пароль.	Атыңызды, дүкен атауын, email және құпиясөзді толтырыңыз.
Заполните название и цены — остальное можно позже	Атауы мен бағаларды толтырыңыз — қалғанын кейін де болады
Зарегистрироваться	Тіркелу
Заходили: 	Кірген: 
ИТОГО	ЖИЫНЫ
Излишек	Артық
Изменить	Өзгерту
Изменить и отменить можно только расход за сегодня — за прошлые дни цифры закрыты.	Тек бүгінгі шығысты өзгертуге және болдырмауға болады — өткен күндердің сандары жабық.
Изменить клиента	Клиентті өзгерту
Изменить расход	Шығысты өзгерту
Изменить товар	Тауарды өзгерту
Изменён	Өзгертілді
Имя	Аты
Имя *	Аты *
Имя и фамилия	Аты-жөні
Имя*	Аты*
Инвентаризаций по этому товару не было.	Бұл тауар бойынша түгендеу болмаған.
Инвентаризаций пока не было. Нажмите «Начать инвентаризацию».	Әзірге түгендеу болмаған. «Түгендеуді бастау» түймесін басыңыз.
Инвентаризация	Түгендеу
Инвентаризация 	Түгендеу 
Инвентаризация доступна сотрудникам с правом «Инвентаризация». Историю проверок видно всем.	Түгендеу «Түгендеу» құқығы бар қызметкерлерге қолжетімді. Тексерулер тарихын бәрі көреді.
Инвентаризация проведена	Түгендеу өткізілді
Использовано %s из %s бесплатных продаж, осталось %s.	%s пайдаланылды (барлығы %s тегін сатылым), %s қалды.
История возвратов	Қайтарулар тарихы
История оплаты	Төлем тарихы
История приходов	Кірістер тарихы
История проверок	Тексерулер тарихы
История расходов	Шығыстар тарихы
История списаний	Есептен шығару тарихы
Итого	Жиыны
Итого · наличными	Жиыны · қолма-қол
Итого по закупке	Сатып алу бойынша жиыны
Итого списано: 	Барлығы есептен шығарылды: 
Ищем чек…	Чекті іздеп жатырмыз…
Ищем…	Іздеп жатырмыз…
К возврату %s. 	Қайтаруға %s. 
К оплате	Төлеуге
К печати	Басып шығаруға
КЛ	КЛ
Каждому присвоим внутренний EAN-13 (начинается на 2 — этот диапазон отведён под коды магазина). Существующие коды не тронем.	Әрқайсысына ішкі EAN-13 береміз (2-ден басталады — бұл диапазон дүкен кодтарына арналған). Бар кодтарға тимейміз.
Как будет выглядеть	Қалай көрінеді
Как в приложении (%s)	Қосымшадағыдай (%s)
Как записать покупателя	Сатып алушыны қалай жазу керек
Как подключить принтер	Принтерді қалай қосу керек
Камера недоступна	Камера қолжетімсіз
Камера недоступна. Введите код вручную.	Камера қолжетімсіз. Кодты қолмен енгізіңіз.
Карта	Карта
Карта недоступна без интернета	Интернетсіз карта қолжетімсіз
Картой	Картамен
Карточка категории	Санат картасы
Карточка клиента	Клиент картасы
Карточка клиента магазина	Дүкен клиентінің картасы
Карточка клиента — тап по строке	Клиент картасы — жолды түрту
Карточка сотрудника	Қызметкер картасы
Карточка товара	Тауар картасы
Карточка товара — тап по строке	Тауар картасы — жолды түрту
Кассир	Кассир
Кассир: %s	Кассир: %s
Каталог FonRo	FonRo каталогы
Каталог пока пуст.	Каталог әзірге бос.
Каталог пуст — пересчитывать нечего	Каталог бос — қайта санайтын ештеңе жоқ
Каталог пуст — сначала добавьте товары.	Каталог бос — алдымен тауарларды қосыңыз.
Категории	Санаттар
Категории %s	Санаттар %s
Категорий пока нет.	Әзірге санаттар жоқ.
Категория	Санат
Категория в архиве	Санат мұрағатта
Категория вернулась в список	Санат тізімге қайтты
Категория создана	Санат құрылды
Категориями управляют сотрудники с правом «Категории».	Санаттарды «Санаттар» құқығы бар қызметкерлер басқарады.
Клиент	Клиент
Клиент #%s	Клиент #%s
Клиент добавлен	Клиент қосылды
Клиент создан	Клиент құрылды
Клиент:	Клиент:
Клиентов	Клиенттер
Клиентов не найдено.	Клиенттер табылмады.
Клиентов пока нет. Добавьте первого кнопкой выше.	Әзірге клиенттер жоқ. Жоғарыдағы түймемен бірінші клиентті қосыңыз.
Клиенты	Клиенттер
Клиенты с долгами	Қарызы бар клиенттер
Клиенты с самым большим долгом	Қарызы ең көп клиенттер
Ключ выдаёт владелец в разделе «Сотрудники». Один ключ — одно устройство.	Кілтті иесі «Қызметкерлер» бөлімінде береді. Бір кілт — бір құрылғы.
Ключ доступа	Кіру кілті
Ключ доступа FonRo	FonRo кіру кілті
Ключ доступа сотрудника	Қызметкердің кіру кілті
Ключ ещё нигде не активирован.	Кілт әзірге ешқайда белсендірілмеген.
Ключ скопирован	Кілт көшірілді
Ключевые показатели	Негізгі көрсеткіштер
Код из письма	Хаттағы код
Код отправлен повторно. Проверьте почту и папку «Спам».	Код қайта жіберілді. Поштаңызды және «Спам» қалтасын тексеріңіз.
Кода нет · %s %s	Код жоқ · %s %s
Коды выданы — теперь эти товары можно печатать	Кодтар берілді — енді бұл тауарларды басып шығаруға болады
Кол-во, %s	Саны, %s
Количество	Саны
Количество: 	Саны: 
Команда магазина	Дүкен командасы
Копировать	Көшіру
Корзина	Себет
Корзина будет очищена, устройство отвяжется от ключа — слот освободится.	Себет тазаланады, құрылғы кілттен ажыратылады — слот босайды.
Кроме владельца пока никого нет	Иесінен басқа әзірге ешкім жоқ
Кто записал	Кім жазды
Кто и сколько оплатил по выбранному периоду	Таңдалған кезең бойынша кім қанша төледі
Кто и что изменил · было → стало	Кім нені өзгертті · болған → болды
Кто сколько продал за %s	%s ішінде кім қанша сатты
Куплено %s %s · уже вернули %s	Сатып алынды %s %s · қайтарылды %s
Листов A4	A4 парақ
Листы A4	A4 парақтар
Листы A4 — обычная самоклейка из канцелярского магазина. Остальные размеры — для этикеточного принтера с рулоном.	A4 парақтар — кеңсе дүкенінен алынған кәдімгі өзі жабысатын қағаз. Қалған өлшемдер — рулонды этикетка принтеріне арналған.
Логин и пароль — те же, что в приложении FonRo.	Логин мен құпиясөз — FonRo қосымшасындағыдай.
Магазин	Дүкен
Мало на складе	Қоймада аз
Менеджер	Менеджер
Меняйте что нужно, остальное останется как было	Керегін өзгертіңіз, қалғаны бұрынғыдай қалады
Мин. сумма товаров для бесплатной доставки (0 — без минимума)	Тегін жеткізу үшін тауарлардың мин. сомасы (0 — минимумсыз)
Мои устройства	Менің құрылғыларым
Мой магазин	Менің дүкенім
Мой онлайн-магазин	Менің онлайн-дүкенім
На листе	Парақта
На сколько кнопки + и − меняют количество этого товара в продаже.	+ және − түймелері сатылымда бұл тауардың санын қаншаға өзгертеді.
На сумму 	Сомасы 
На этом устройстве нет системной печати	Бұл құрылғыда жүйелік басып шығару жоқ
Наведите камеру на штрихкод товара.	Камераны тауардың штрих-кодына бағыттаңыз.
Нажмите возврат, чтобы посмотреть детали	Мәліметтерді көру үшін қайтаруды басыңыз
Нажмите документ, чтобы посмотреть состав	Құрамын көру үшін құжатты басыңыз
Нажмите на карту, чтобы поставить точку. Голубой круг — радиус бесплатной доставки.	Нүкте қою үшін картаны басыңыз. Көгілдір шеңбер — тегін жеткізу радиусы.
Нажмите продажу, чтобы посмотреть состав	Құрамын көру үшін сатылымды басыңыз
Назад	Артқа
Название	Атауы
Название *	Атауы *
Название магазина	Дүкен атауы
Название соберётся так: Чехол · Чёрный · M	Атауы былай жиналады: Чехол · Қара · M
Название товара	Тауар атауы
Название — минимум 2 символа	Атауы — кемінде 2 таңба
Название, артикул или код	Атауы, артикул немесе код
Найти чек	Чекті табу
Накладная	Жүкқұжат
Накладная № 	Жүкқұжат № 
Наклеек подряд	Қатарынан жапсырма
Наклейки для товаров, которые приехали без кода	Кодсыз келген тауарларға арналған жапсырмалар
Наличные	Қолма-қол
Наличные + карта = сумма чека	Қолма-қол + карта = чек сомасы
Наличными	Қолма-қол
Напишите нам — ответим в течение рабочего дня.	Бізге жазыңыз — жұмыс күні ішінде жауап береміз.
Напишите сообщение…	Хабарлама жазыңыз…
Например: Ali Valiyev	Мысалы: Ali Valiyev
Например: COLA-001	Мысалы: COLA-001
Например: Coca Cola	Мысалы: Coca Cola
Например: Напитки	Мысалы: Сусындар
Например: Ойбек Трейд	Мысалы: Ойбек Трейд
Например: возит воду по вторникам	Мысалы: сейсенбіде су әкеледі
Например: клиент вернул товар	Мысалы: клиент тауарды қайтарды
Например: пересчёт после смены	Мысалы: ауысымнан кейінгі қайта санау
Например: привезли утром, коробка помята	Мысалы: таңертең әкелді, қорап мыжылған
Например: товара нет в наличии	Мысалы: тауар қолда жоқ
Настройки	Параметрлер
Настройки магазина	Дүкен параметрлері
Настройки магазина сохранены	Дүкен параметрлері сақталды
Наценка	Үстеме
Наценка %s%% · прибыль %s	Үстеме %s%% · пайда %s
Наценка с единицы: 	Бірліктен үстеме: 
Начать инвентаризацию	Түгендеуді бастау
Не вернулись: 	Қайтпағандар: 
Не выбран	Таңдалмаған
Не выбран — чек уйдёт в системную печать	Таңдалмаған — чек жүйелік басып шығаруға жіберіледі
Не готово	Дайын емес
Не отмечено · %s	Белгіленбеген · %s
Не перенесены: 	Көшірілмегендер: 
Не показывать	Көрсетпеу
Не удалось записать документ	Құжатты жазу мүмкін болмады
Не удалось напечатать чек	Чекті басып шығару мүмкін болмады
Не удалось открыть браузер для оплаты	Төлем үшін браузерді ашу мүмкін болмады
Не удалось открыть звонилку	Телефон қосымшасын ашу мүмкін болмады
Не удалось открыть настройки Bluetooth	Bluetooth параметрлерін ашу мүмкін болмады
Не удалось открыть системную печать	Жүйелік басып шығаруды ашу мүмкін болмады
Не удалось открыть ссылку	Сілтемені ашу мүмкін болмады
Не удалось открыть страницу оплаты	Төлем бетін ашу мүмкін болмады
Не удалось подготовить документ	Құжатты дайындау мүмкін болмады
Недостача	Кемшін
Неизвестная ошибка	Белгісіз қате
Необязательно	Міндетті емес
Непогашенные долги	Өтелмеген қарыздар
Непогашенных долгов за период нет 🎉	Кезең ішінде өтелмеген қарыздар жоқ 🎉
Нет в наличии	Қолда жоқ
Нет данных за период.	Кезең бойынша деректер жоқ.
Нет долгов за выбранный период.	Таңдалған кезеңде қарыздар жоқ.
Нет доступа к Bluetooth. Разрешите его в настройках телефона.	Bluetooth-қа рұқсат жоқ. Оны телефон параметрлерінде рұқсат етіңіз.
Нет доступа к долгам	Қарыздарға рұқсат жоқ
Нет доступа к истории продаж	Сатылым тарихына рұқсат жоқ
Нет доступа к камере. Разрешите её в настройках телефона.	Камераға рұқсат жоқ. Оны телефон параметрлерінде рұқсат етіңіз.
Нет доступа к расходам	Шығыстарға рұқсат жоқ
Нет доступа к этому разделу	Бұл бөлімге рұқсат жоқ
Нет доступа.	Рұқсат жоқ.
Нет права на возвраты	Қайтаруларға құқық жоқ
Нет права на изменение товаров	Тауарларды өзгертуге құқық жоқ
Нет права на инвентаризацию	Түгендеуге құқық жоқ
Нет права на приход	Кіріске құқық жоқ
Нет права на расходы	Шығыстарға құқық жоқ
