 · «%s»: владелец + 	 · «%s»: соҳиб + 
В кассе уже набран чек: позиций — %s. 	Дар касса аллакай чек ҷамъ шудааст: мавқеъҳо — %s. 
В корзину	Ба сабад
В окне печати поставьте масштаб 100% и снимите поля по умолчанию — иначе наклейки уедут мимо разметки листа.	Дар равзанаи чоп миқёси 100% гузоред ва майдонҳои пешфарзро бардоред — вагарна барчаспҳо аз тақсимоти варақ мегузаранд.
В очереди	Дар навбат
В этой категории ничего не найдено.	Дар ин категория чизе ёфт нашуд.
В этой категории пока нет товаров.	Дар ин категория ҳоло мол нест.
В этом статусе пусто.	Дар ин ҳолат холӣ аст.
ВСЕ ПРОДАННЫЕ ТОВАРЫ	ҲАМАИ МОЛҲОИ ФУРӮХТАШУДА
Валюта витрины	Асъори витрина
Валюта кассы	Асъори касса
Валюта сохранена	Асъор нигоҳ дошта шуд
Вариант: цвет, размер, память	Вариант: ранг, андоза, хотира
Ваш ответ	Ҷавоби шумо
Ваша версия: 	Версияи шумо: 
Введите 6-значный код из письма.	Коди 6-рақамаро аз мактуб ворид кунед.
Введите email и пароль.	Email ва паролро ворид кунед.
Введите email.	Email-ро ворид кунед.
Введите имя клиента	Номи мизоҷро ворид кунед
Введите имя сотрудника	Номи кормандро ворид кунед
Введите ключ доступа полностью.	Калиди дастрасиро пурра ворид кунед.
Введите название	Номро ворид кунед
Введите название товара.	Номи молро ворид кунед.
Введите номер чека	Рақами чекро ворид кунед
Введите номер чека или отсканируйте QR-код с чека.	Рақами чекро ворид кунед ё QR-коди чекро сканер кунед.
Введите штрихкод	Штрих-кодро ворид кунед
Верно	Дуруст
Вернуть	Баргардонидан
Вернуть · 	Баргардонидан · 
Вернуть в кассу	Ба касса баргардонидан
Вернуть всё	Ҳамаашро баргардонидан
Вес	Вазн
Витрина закрыта: покупатели не видят магазин.	Витрина пӯшида аст: харидорон мағозаро намебинанд.
Витрина открыта: покупатели видят товары и делают заказы.	Витрина кушода аст: харидорон молҳоро мебинанд ва фармоиш медиҳанд.
Владелец	Соҳиб
Владелец + 	Соҳиб + 
Владелец входит по email и паролю — ключ доступа ему не нужен, а права у него полные и не редактируются.	Соҳиб бо email ва парол ворид мешавад — калиди дастрасӣ ба ӯ лозим нест, ҳуқуқҳояш пурра ва таҳриршаванда нестанд.
Владелец имеет полный доступ ко всем разделам.	Соҳиб ба ҳамаи бахшҳо дастрасии пурра дорад.
Влияет только на то, как касса показывает суммы. У витрины и iOS-приложения валюта своя.	Танҳо ба он таъсир мерасонад, ки касса маблағҳоро чӣ гуна нишон медиҳад. Витрина ва барномаи iOS асъори худро доранд.
Внесено при покупке	Ҳангоми харид дохил карда шуд
Внесено сейчас:	Ҳозир дохил карда шуд:
Внесите фактический остаток хотя бы по одному товару	Ақаллан барои як мол боқимондаи воқеиро ворид кунед
Возврат	Баргардонидан
Возврат 	Баргардонидан 
Возврат -%s	Баргардонидан -%s
Возврат · 	Баргардонидан · 
Возврат от %s	Баргардонидан аз %s
Возврат проведён	Баргардонидан гузаронида шуд
Возврат товара	Баргардонидани мол
Возврат −%s	Баргардонидан −%s
Возвратов	Баргардонидан
Возвратов по этому товару не было.	Аз рӯи ин мол баргардонидан набуд.
Возвратов пока нет.	Ҳоло баргардонидан нест.
Возвраты	Баргардонидан
Возвраты доступны сотрудникам с правом «Приём возвратов».	Баргардонидан барои кормандони дорои ҳуқуқи «Қабули баргардонидан» дастрас аст.
Возвраты по дням	Баргардонидан аз рӯи рӯзҳо
Возвраты по часам	Баргардонидан аз рӯи соатҳо
Возвращён	Баргардонида шуд
Возвращённые товары	Молҳои баргардонидашуда
Возобновить подписку	Обунаро аз нав фаъол кардан
Войти	Ворид шудан
Войти с него снова можно будет тем же ключом — слот освободится.	Аз он бо ҳамон калид дубора ворид шудан мумкин мешавад — ҷойгаҳ озод мешавад.
Восстановить	Барқарор кардан
Восстановление пароля	Барқарорсозии парол
Все	Ҳама
Все (%s)	Ҳама (%s)
Все · 	Ҳама · 
Все · %s	Ҳама · %s
Все выбранные товары отмечены.	Ҳамаи молҳои интихобшуда қайд карда шуданд.
Все категории	Ҳамаи категорияҳо
Все позиции, скидка и клиент будут сброшены.	Ҳамаи мавқеъҳо, тахфиф ва мизоҷ бекор карда мешаванд.
Все чеки	Ҳамаи чекҳо
Все чеки отправлены.	Ҳамаи чекҳо фиристода шуданд.
Все штрихкоды	Ҳамаи штрих-кодҳо
Всего на складе, шт	Ҳамагӣ дар анбор, дона
Всего: 	Ҳамагӣ: 
Вся сумма — картой	Тамоми маблағ — бо корт
Всё возвращено	Ҳамааш баргардонида шуд
Всё спокойно	Ҳама чиз ором
Вход владельца	Вуруди соҳиб
Вход выключен, права сохранятся	Вуруд хомӯш аст, ҳуқуқҳо нигоҳ дошта мешаванд
Вход по ключу · права доступа	Вуруд бо калид · ҳуқуқи дастрасӣ
Вход по ключу работает	Вуруд бо калид кор мекунад
Входим…	Ворид шуда истодаем…
Выберите готовые товары — они добавятся в магазин с фото и штрихкодом. Цены и остатки заполнит приход.	Молҳои тайёрро интихоб кунед — онҳо бо сурат ва штрих-код ба мағоза илова мешаванд. Нархҳо ва боқимондаҳоро воридот пур мекунад.
Выберите клиента (обязательно)	Мизоҷро интихоб кунед (ҳатмӣ)
Выберите месяц	Моҳро интихоб кунед
Выберите поставщика и товары, которые пришли	Таъминотчӣ ва молҳоеро, ки омаданд, интихоб кунед
Выберите товары	Молҳоро интихоб кунед
Выбран	Интихобшуда
Выбран: %s	Интихобшуда: %s
Выбрана	Интихобшуда
Выдано кодов: %s, не удалось: %s	Кодҳо дода шуданд: %s, нашуд: %s
Выдать внутренние коды	Кодҳои дохилӣ додан
Выдать штрихкоды?	Штрих-кодҳо дода шаванд?
Выйти	Баромадан
Выйти из аккаунта?	Аз аккаунт баромадан?
Выполнен	Иҷро шуд
Выполненные	Иҷрошудаҳо
Выпустить	Баровардан
Выпустить новый ключ?	Калиди нав бароварда шавад?
Выручка	Даромад
Где активен ваш ключ доступа	Калиди дастрасии шумо дар куҷо фаъол аст
Где искать	Дар куҷо ҷустуҷӯ кардан
Где открыт ваш ключ	Калиди шумо дар куҷо кушода аст
Годен до 	Эътибор то 
Готовится	Тайёр шуда истодааст
Готово	Тайёр
Готовятся	Тайёр шуда истодаанд
График возвратов %s	Графики баргардонидан %s
График долгов %s	Графики қарзҳо %s
График прибыли %s	Графики фоида %s
График продаж %s	Графики фурӯш %s
Да, вернуть	Ҳа, баргардонидан
Да, выдать	Ҳа, додан
Да, выйти	Ҳа, баромадан
Да, отменить	Ҳа, бекор кардан
Да, очистить	Ҳа, тоза кардан
Да, подтверждаю	Ҳа, тасдиқ мекунам
Да, провести	Ҳа, гузаронидан
Да, удалить	Ҳа, нест кардан
Данных за период нет.	Барои давра маълумот нест.
Дата	Сана
Дата ставится автоматически: %s	Сана худкор гузошта мешавад: %s
Действие	Амал
Действия	Амалҳо
Действует до %s	То %s эътибор дорад
Действует, когда указана локация магазина, а покупатель отправил свою при заказе.	Вақте амал мекунад, ки ҷойгиршавии мағоза нишон дода шуда бошад ва харидор ҳангоми фармоиш ҷойгиршавии худро фиристода бошад.
День закрыт: изменить и отменить можно только расход за сегодня.	Рӯз пӯшида аст: танҳо хароҷоти имрӯзаро тағйир додан ва бекор кардан мумкин аст.
Детали долга	Тафсилоти қарз
Динамика %s	Динамикаи %s
Длина	Дарозӣ
Для выбранного периода расходы не найдены.	Барои давраи интихобшуда хароҷот ёфт нашуд.
Для долга выберите клиента	Барои қарз мизоҷро интихоб кунед
Добавить	Илова кардан
Добавить · 	Илова кардан · 
Добавить возврат	Баргардонидан илова кардан
Добавить выбранные	Интихобшудаҳоро илова кардан
Добавить выбранные (%s)	Интихобшудаҳоро илова кардан (%s)
Добавить категорию	Категория илова кардан
Добавить клиента	Мизоҷ илова кардан
Добавить код	Код илова кардан
Добавить нового сотрудника	Корманди нав илова кардан
Добавить поставщика	Таъминотчӣ илова кардан
Добавить расход	Хароҷот илова кардан
Добавить товар	Мол илова кардан
Добавить товары	Молҳо илова кардан
Добавлено из каталога: %s	Аз каталог илова шуд: %s
Добавлено: 	Илова шуд: 
Добавлено: %s	Илова шуд: %s
Добавьте сюда штрихкоды разных партий этого же товара. При продаже сканер найдёт товар по любому из них.	Ба ин ҷо штрих-кодҳои партияҳои гуногуни ҳамин молро илова кунед. Ҳангоми фурӯш сканер молро аз рӯи ҳар яки онҳо меёбад.
Добавьте товар	Мол илова кунед
Документ отменён — товар вернулся на склад	Ҳуҷҷат бекор карда шуд — мол ба анбор баргашт
Документов	Ҳуҷҷатҳо
Долг	Қарз
Долг 	Қарз 
Долг клиента 	Қарзи мизоҷ 
Долг полностью закрыт 🎉	Қарз пурра пӯшида шуд 🎉
Долг поставщику	Қарз ба таъминотчӣ
Долг: %s	Қарз: %s
Долги	Қарзҳо
Долги клиентов не загрузились — список показан без них	Қарзҳои мизоҷон бор нашуданд — рӯйхат бе онҳо нишон дода шуд
Должников за период нет 🎉	Барои давра қарздор нест 🎉
Дополнительно: шаг продажи, штрихкоды	Иловагӣ: қадами фурӯш, штрих-кодҳо
Дополнительные штрихкоды	Штрих-кодҳои иловагӣ
Доставка	Расонидан
Доступ сохранится до конца оплаченного периода, потом Премиум отключится. Возобновить можно будет до этой даты.	Дастрасӣ то охири давраи пардохтшуда нигоҳ дошта мешавад, баъд Премиум хомӯш мешавад. То ин сана аз нав фаъол кардан мумкин мешавад.
Доступно к возврату: %s %s	Барои баргардонидан дастрас: %s %s
Доступно только владельцу магазина	Танҳо ба соҳиби мағоза дастрас аст
Дробный товар: можно продать часть — например 0,5.	Моли касрӣ: як қисмашро фурӯхтан мумкин аст — масалан 0,5.
Другое	Дигар
Единиц	Воҳид
Единица	Воҳид
Единица измерения	Воҳиди ченак
Есть долг	Қарз ҳаст
Ещё	Боз
Ждут обработки	Коркардро интизоранд
Журнал	Журнал
Журнал доступен владельцу и менеджерам	Журнал ба соҳиб ва менеҷерон дастрас аст
Журнал доступен владельцу и сотрудникам с правом на настройки магазина.	Журнал ба соҳиб ва кормандони дорои ҳуқуқи танзимоти мағоза дастрас аст.
За «%s» возвратов нет.	Барои «%s» баргардонидан нест.
За «%s» приходов нет.	Барои «%s» воридот нест.
За «%s» проверок нет.	Барои «%s» санҷиш нест.
За период долги не погашали.	Дар давра қарзҳо пардохт нашуданд.
За этот день записей нет.	Барои ин рӯз сабт нест.
Забыли пароль?	Паролро фаромӯш кардед?
Загружаем архив…	Бойгониро бор мекунем…
Загружаем долги…	Қарзҳоро бор мекунем…
Загружаем историю товара…	Таърихи молро бор мекунем…
Загружаем оплаты…	Пардохтҳоро бор мекунем…
Загружаем переписку…	Мукотибаро бор мекунем…
Загружаем покупки…	Харидҳоро бор мекунем…
Загружаем список…	Рӯйхатро бор мекунем…
Загружаем статистику…	Оморро бор мекунем…
Загружаем…	Бор мекунем…
Загрузка…	Боркунӣ…
Задайте адрес витрины в настройках	Суроғаи витринаро дар танзимот муайян кунед
Заказ #%s	Фармоиш #%s
Заказ %s выполнен	Фармоиши %s иҷро шуд
Заказ %s отменён	Фармоиши %s бекор карда шуд
Заказ %s перенесён в кассу	Фармоиши %s ба касса гузаронида шуд
Заказ %s подтверждён	Фармоиши %s тасдиқ карда шуд
Заказов ждут обработки: %s	Фармоишҳо коркардро интизоранд: %s
Заказов нет	Фармоиш нест
Заказы не загрузились	Фармоишҳо бор нашуданд
Заказы онлайн	Фармоишҳои онлайн
Закрыт	Пӯшида
Закрытия	Пӯшиданҳо
Закрытия долгов	Пӯшидани қарзҳо
Закрыть	Пӯшидан
Закрыть долг	Қарзро пӯшидан
Закуп	Харид
Закупка	Харид
Закупочная цена	Нархи харид
Заменить	Иваз кардан
Заменить корзину?	Сабад иваз карда шавад?
Заметка	Қайд
Заметка к проверке	Қайд ба санҷиш
Заполните имя, название магазина, email и пароль.	Ном, номи мағоза, email ва паролро пур кунед.
Заполните название и цены — остальное можно позже	Ном ва нархҳоро пур кунед — боқимондаашро баъдтар мумкин
Зарегистрироваться	Сабти ном кардан
Заходили: 	Ворид шуданд: 
ИТОГО	ҲАМАГӢ
Излишек	Зиёдатӣ
Изменить	Тағйир додан
Изменить и отменить можно только расход за сегодня — за прошлые дни цифры закрыты.	Танҳо хароҷоти имрӯзаро тағйир додан ва бекор кардан мумкин аст — рақамҳои рӯзҳои гузашта пӯшидаанд.
Изменить клиента	Мизоҷро тағйир додан
Изменить расход	Хароҷотро тағйир додан
Изменить товар	Молро тағйир додан
Изменён	Тағйир дода шуд
Имя	Ном
Имя *	Ном *
Имя и фамилия	Ном ва насаб
Имя*	Ном*
Инвентаризаций по этому товару не было.	Аз рӯи ин мол инвентаризатсия набуд.
Инвентаризаций пока не было. Нажмите «Начать инвентаризацию».	Ҳоло инвентаризатсия набуд. «Инвентаризатсияро оғоз кардан»-ро пахш кунед.
Инвентаризация	Инвентаризатсия
Инвентаризация 	Инвентаризатсия 
Инвентаризация доступна сотрудникам с правом «Инвентаризация». Историю проверок видно всем.	Инвентаризатсия барои кормандони дорои ҳуқуқи «Инвентаризатсия» дастрас аст. Таърихи санҷишҳоро ҳама мебинанд.
Инвентаризация проведена	Инвентаризатсия гузаронида шуд
Использовано %s из %s бесплатных продаж, осталось %s.	Истифода шуд %s аз %s фурӯши ройгон, %s мондааст.
История возвратов	Таърихи баргардонидан
История оплаты	Таърихи пардохт
История приходов	Таърихи воридот
История проверок	Таърихи санҷишҳо
История расходов	Таърихи хароҷот
История списаний	Таърихи аз ҳисоб баровардан
Итого	Ҳамагӣ
Итого · наличными	Ҳамагӣ · бо нақд
Итого по закупке	Ҳамагӣ аз рӯи харид
Итого списано: 	Ҳамагӣ аз ҳисоб бароварда шуд: 
Ищем чек…	Чекро меҷӯем…
Ищем…	Меҷӯем…
К возврату %s. 	Барои баргардонидан %s. 
К оплате	Барои пардохт
К печати	Барои чоп
КЛ	МИ
Каждому присвоим внутренний EAN-13 (начинается на 2 — этот диапазон отведён под коды магазина). Существующие коды не тронем.	Ба ҳар яке EAN-13-и дохилӣ таъин мекунем (аз 2 сар мешавад — ин диапазон барои кодҳои мағоза ҷудо шудааст). Кодҳои мавҷударо даст намерасонем.
Как будет выглядеть	Чӣ гуна намоён мешавад
Как в приложении (%s)	Мисли барнома (%s)
Как записать покупателя	Харидорро чӣ тавр сабт кардан
Как подключить принтер	Принтерро чӣ тавр пайваст кардан
Камера недоступна	Камера дастнорас аст
Камера недоступна. Введите код вручную.	Камера дастнорас аст. Кодро дастӣ ворид кунед.
Карта	Корт
Карта недоступна без интернета	Харита бе интернет дастнорас аст
Картой	Бо корт
Карточка категории	Кортаи категория
Карточка клиента	Кортаи мизоҷ
Карточка клиента магазина	Кортаи мизоҷи мағоза
Карточка клиента — тап по строке	Кортаи мизоҷ — зарба ба сатр
Карточка сотрудника	Кортаи корманд
Карточка товара	Кортаи мол
Карточка товара — тап по строке	Кортаи мол — зарба ба сатр
Кассир	Кассир
Кассир: %s	Кассир: %s
Каталог FonRo	Каталоги FonRo
Каталог пока пуст.	Каталог ҳоло холӣ аст.
Каталог пуст — пересчитывать нечего	Каталог холӣ аст — аз нав ҳисоб кардан чизе нест
Каталог пуст — сначала добавьте товары.	Каталог холӣ аст — аввал молҳоро илова кунед.
Категории	Категорияҳо
Категории %s	Категорияҳои %s
Категорий пока нет.	Ҳоло категория нест.
Категория	Категория
Категория в архиве	Категория дар бойгонӣ
Категория вернулась в список	Категория ба рӯйхат баргашт
Категория создана	Категория сохта шуд
Категориями управляют сотрудники с правом «Категории».	Категорияҳоро кормандони дорои ҳуқуқи «Категорияҳо» идора мекунанд.
Клиент	Мизоҷ
Клиент #%s	Мизоҷ #%s
Клиент добавлен	Мизоҷ илова шуд
Клиент создан	Мизоҷ сохта шуд
Клиент:	Мизоҷ:
Клиентов	Мизоҷон
Клиентов не найдено.	Мизоҷ ёфт нашуд.
Клиентов пока нет. Добавьте первого кнопкой выше.	Ҳоло мизоҷ нест. Аввалинро бо тугмаи болоӣ илова кунед.
Клиенты	Мизоҷон
Клиенты с долгами	Мизоҷони қарздор
Клиенты с самым большим долгом	Мизоҷони дорои калонтарин қарз
Ключ выдаёт владелец в разделе «Сотрудники». Один ключ — одно устройство.	Калидро соҳиб дар бахши «Кормандон» медиҳад. Як калид — як дастгоҳ.
Ключ доступа	Калиди дастрасӣ
Ключ доступа FonRo	Калиди дастрасии FonRo
Ключ доступа сотрудника	Калиди дастрасии корманд
Ключ ещё нигде не активирован.	Калид ҳанӯз дар ҳеҷ ҷо фаъол нашудааст.
Ключ скопирован	Калид нусхабардорӣ шуд
Ключевые показатели	Нишондиҳандаҳои асосӣ
Код из письма	Код аз мактуб
Код отправлен повторно. Проверьте почту и папку «Спам».	Код такроран фиристода шуд. Почта ва папкаи «Спам»-ро санҷед.
Кода нет · %s %s	Код нест · %s %s
Коды выданы — теперь эти товары можно печатать	Кодҳо дода шуданд — акнун ин молҳоро чоп кардан мумкин аст
Кол-во, %s	Миқдор, %s
Количество	Миқдор
Количество: 	Миқдор: 
Команда магазина	Дастаи мағоза
Копировать	Нусхабардорӣ
Корзина	Сабад
Корзина будет очищена, устройство отвяжется от ключа — слот освободится.	Сабад тоза карда мешавад, дастгоҳ аз калид ҷудо мешавад — ҷойгаҳ озод мешавад.
Кроме владельца пока никого нет	Ғайр аз соҳиб ҳоло касе нест
Кто записал	Кӣ сабт кард
Кто и сколько оплатил по выбранному периоду	Кӣ ва чӣ қадар аз рӯи давраи интихобшуда пардохт кард
Кто и что изменил · было → стало	Кӣ чиро тағйир дод · буд → шуд
Кто сколько продал за %s	Кӣ дар %s чӣ қадар фурӯхт
Куплено %s %s · уже вернули %s	Харида шуд %s %s · аллакай баргардониданд %s
Листов A4	Варақҳои A4
Листы A4	Варақҳои A4
Листы A4 — обычная самоклейка из канцелярского магазина. Остальные размеры — для этикеточного принтера с рулоном.	Варақҳои A4 — худчаспаки оддӣ аз мағозаи лавозимоти хаттӣ. Андозаҳои дигар — барои принтери барчасп бо рулон.
Логин и пароль — те же, что в приложении FonRo.	Логин ва парол — ҳамонҳое, ки дар барномаи FonRo.
Магазин	Мағоза
Мало на складе	Дар анбор кам
Менеджер	Менеҷер
Меняйте что нужно, остальное останется как было	Он чи лозим аст, тағйир диҳед, боқимонда чӣ хеле буд, ҳамон хел мемонад
Мин. сумма товаров для бесплатной доставки (0 — без минимума)	Ҳадди ақали маблағи молҳо барои расонидани ройгон (0 — бе ҳадди ақал)
Мои устройства	Дастгоҳҳои ман
Мой магазин	Мағозаи ман
Мой онлайн-магазин	Мағозаи онлайни ман
На листе	Дар варақ
На сколько кнопки + и − меняют количество этого товара в продаже.	Тугмаҳои + ва − миқдори ин молро дар фурӯш ба чӣ қадар тағйир медиҳанд.
На сумму 	Ба маблағи 
На этом устройстве нет системной печати	Дар ин дастгоҳ чопи системавӣ нест
Наведите камеру на штрихкод товара.	Камераро ба штрих-коди мол равона кунед.
Нажмите возврат, чтобы посмотреть детали	Барои дидани тафсилот баргардониданро пахш кунед
Нажмите документ, чтобы посмотреть состав	Барои дидани таркиб ҳуҷҷатро пахш кунед
Нажмите на карту, чтобы поставить точку. Голубой круг — радиус бесплатной доставки.	Барои гузоштани нуқта ба харита пахш кунед. Доираи кабуд — радиуси расонидани ройгон.
Нажмите продажу, чтобы посмотреть состав	Барои дидани таркиб фурӯшро пахш кунед
Назад	Бозгашт
Название	Ном
Название *	Ном *
Название магазина	Номи мағоза
Название соберётся так: Чехол · Чёрный · M	Ном чунин ҷамъ мешавад: Ғилоф · Сиёҳ · M
Название товара	Номи мол
Название — минимум 2 символа	Ном — ҳадди ақал 2 аломат
Название, артикул или код	Ном, артикул ё код
Найти чек	Чекро ёфтан
Накладная	Борхат
Накладная № 	Борхат № 
Наклеек подряд	Барчаспҳо пай дар пай
Наклейки для товаров, которые приехали без кода	Барчаспҳо барои молҳое, ки бе код омаданд
Наличные	Нақд
Наличные + карта = сумма чека	Нақд + корт = маблағи чек
Наличными	Бо нақд
Напишите нам — ответим в течение рабочего дня.	Ба мо нависед — дар давоми рӯзи корӣ ҷавоб медиҳем.
Напишите сообщение…	Паём нависед…
Например: Ali Valiyev	Масалан: Ali Valiyev
Например: COLA-001	Масалан: COLA-001
Например: Coca Cola	Масалан: Coca Cola
Например: Напитки	Масалан: Нӯшокиҳо
Например: Ойбек Трейд	Масалан: Ойбек Трейд
Например: возит воду по вторникам	Масалан: рӯзҳои сешанбе об меорад
Например: клиент вернул товар	Масалан: мизоҷ молро баргардонид
Например: пересчёт после смены	Масалан: аз нав ҳисоб кардан пас аз баст
Например: привезли утром, коробка помята	Масалан: субҳ оварданд, қуттӣ ғиҷим шудааст
Например: товара нет в наличии	Масалан: мол мавҷуд нест
Настройки	Танзимот
Настройки магазина	Танзимоти мағоза
Настройки магазина сохранены	Танзимоти мағоза нигоҳ дошта шуд
Наценка	Иловапулӣ
Наценка %s%% · прибыль %s	Иловапулӣ %s%% · фоида %s
Наценка с единицы: 	Иловапулӣ аз як воҳид: 
Начать инвентаризацию	Инвентаризатсияро оғоз кардан
